,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,date,season
0,1610612737,Atlanta Hawks,50,26,24,0.52,48.4,40.2,87.0,0.462,12.6,34.2,0.368,20.2,24.8,0.815,10.8,34.8,45.6,24.2,13.7,6.9,5.0,5.3,19.9,20.3,113.2,1.9,6,11,12,11,11,20,23,17,17,19,13,1,4,5,5,16,8,19,14,22,14,20,20,6,12,10,10,Atlanta Hawks,2021-04-05,2020-21
1,1610612738,Boston Celtics,50,25,25,0.5,48.2,41.7,89.0,0.469,13.2,35.2,0.374,15.9,20.8,0.763,10.9,33.1,44.0,23.2,13.7,8.1,5.2,4.8,20.6,19.1,112.4,1.8,6,13,16,15,18,11,11,13,12,13,10,24,23,22,4,25,18,24,13,10,8,12,25,16,15,11,10,Boston Celtics,2021-04-05,2020-21
2,1610612751,Brooklyn Nets,51,35,16,0.686,48.5,43.3,87.8,0.493,14.2,36.4,0.391,17.8,22.3,0.799,9.0,35.3,44.3,26.6,13.6,6.6,5.1,4.6,18.8,18.9,118.6,4.4,1,2,3,3,9,3,18,1,6,11,4,7,9,7,23,9,13,7,12,28,12,11,10,19,2,7,10,Brooklyn Nets,2021-04-05,2020-21
3,1610612766,Charlotte Hornets,49,25,24,0.51,48.2,40.1,87.6,0.458,13.8,36.3,0.38,16.6,21.6,0.77,10.5,33.6,44.1,26.7,15.4,8.1,4.7,4.9,18.1,19.1,110.7,-1.1,19,13,12,14,17,21,20,21,7,12,7,16,14,20,10,21,16,5,28,8,19,17,6,18,20,19,10,Charlotte Hornets,2021-04-05,2020-21
4,1610612741,Chicago Bulls,48,20,28,0.417,48.4,42.6,88.9,0.479,12.3,33.5,0.368,15.1,18.8,0.801,9.5,35.3,44.8,26.4,15.6,6.6,4.3,5.0,19.6,18.5,112.6,-1.3,27,22,21,22,10,7,12,8,19,20,14,29,29,6,19,8,11,8,30,27,24,18,18,22,14,20,10,Chicago Bulls,2021-04-05,2020-21
5,1610612739,Cleveland Cavaliers,50,18,32,0.36,48.5,38.8,86.2,0.45,9.4,28.0,0.335,16.3,22.2,0.731,10.6,32.3,42.9,23.3,15.5,8.1,5.0,5.8,18.9,20.1,103.1,-7.9,6,25,25,25,6,27,27,23,30,30,29,20,10,30,7,29,23,23,29,6,13,28,12,11,30,30,10,Cleveland Cavaliers,2021-04-05,2020-21
6,1610612742,Dallas Mavericks,49,28,21,0.571,48.1,40.8,86.7,0.47,13.8,37.9,0.364,16.4,21.2,0.777,8.5,35.0,43.4,22.5,12.1,6.1,4.4,3.7,19.6,20.3,111.8,2.1,19,10,10,10,20,17,25,12,8,5,16,18,19,15,27,11,20,27,3,30,22,1,19,9,19,9,10,Dallas Mavericks,2021-04-05,2020-21
7,1610612743,Denver Nuggets,49,31,18,0.633,48.6,43.6,89.2,0.488,13.3,34.2,0.387,14.9,19.1,0.784,10.6,33.7,44.3,27.0,13.4,8.1,4.4,4.4,18.8,19.4,115.3,5.3,19,7,6,7,2,2,9,3,11,17,5,30,28,12,8,20,14,3,9,8,22,8,8,14,4,5,10,Denver Nuggets,2021-04-05,2020-21
8,1610612765,Detroit Pistons,50,15,35,0.3,48.6,38.4,86.3,0.445,12.1,34.2,0.354,18.4,23.8,0.771,9.9,32.9,42.8,24.5,14.7,7.8,5.2,6.0,20.5,20.7,107.3,-3.5,6,28,28,28,3,30,26,27,20,18,21,5,5,17,16,26,24,16,23,12,10,30,24,5,25,23,10,Detroit Pistons,2021-04-05,2020-21
9,1610612744,Golden State Warriors,50,23,27,0.46,48.1,40.6,88.3,0.46,13.7,37.3,0.367,16.9,21.7,0.776,7.9,34.7,42.6,27.2,15.0,8.0,4.9,4.8,21.7,20.3,111.8,-2.2,6,18,19,18,24,18,14,18,9,6,15,12,12,16,30,18,25,2,24,11,17,13,28,7,18,22,10,Golden State Warriors,2021-04-05,2020-21
10,1610612745,Houston Rockets,50,13,37,0.26,48.1,38.8,88.2,0.439,13.4,40.2,0.335,16.8,22.6,0.743,8.9,33.2,42.1,22.8,14.5,7.6,5.4,5.4,20.0,19.9,107.8,-6.4,6,29,29,29,24,26,15,28,10,4,30,14,7,25,24,22,28,25,20,13,7,23,21,12,24,26,10,Houston Rockets,2021-04-05,2020-21
11,1610612754,Indiana Pacers,48,22,26,0.458,48.6,42.2,89.6,0.471,12.5,34.3,0.363,16.1,20.5,0.782,8.9,33.2,42.0,26.9,13.9,8.6,6.1,5.3,20.2,18.6,112.9,-0.2,27,19,17,19,1,9,7,11,18,16,17,22,25,13,25,23,29,4,15,4,2,21,22,21,13,17,10,Indiana Pacers,2021-04-05,2020-21
12,1610612746,LA Clippers,51,33,18,0.647,48.0,41.9,86.9,0.482,14.3,34.4,0.416,16.3,19.4,0.84,9.7,34.7,44.4,24.0,13.0,7.3,4.3,3.7,19.2,17.8,114.3,6.4,1,5,6,6,29,10,24,7,5,14,1,21,27,1,17,17,12,20,4,16,26,3,14,30,9,3,10,LA Clippers,2021-04-05,2020-21
13,1610612747,Los Angeles Lakers,50,31,19,0.62,48.5,40.9,85.9,0.476,10.7,30.5,0.351,17.5,23.6,0.743,9.6,35.5,45.1,24.4,15.4,7.6,5.5,4.4,18.9,21.5,110.0,4.2,6,7,8,8,6,16,29,10,27,25,24,9,6,26,18,6,9,17,27,14,5,7,11,2,22,8,10,Los Angeles Lakers,2021-04-05,2020-21
14,1610612763,Memphis Grizzlies,47,24,23,0.511,48.2,42.6,92.0,0.463,10.7,30.3,0.353,16.0,20.6,0.781,11.2,35.0,46.3,26.7,13.5,9.6,4.5,5.6,18.7,18.2,111.9,0.9,30,16,11,13,16,8,1,16,26,26,22,23,24,14,2,10,4,6,11,1,21,24,7,27,17,13,10,Memphis Grizzlies,2021-04-05,2020-21
15,1610612748,Miami Heat,50,26,24,0.52,48.4,38.5,83.8,0.459,12.6,36.5,0.345,16.9,21.4,0.79,8.0,34.7,42.6,26.0,14.6,7.3,4.1,4.2,19.0,20.2,106.4,-0.7,6,11,12,11,11,29,30,20,16,8,27,11,17,8,29,19,25,10,21,15,29,5,13,10,26,18,10,Miami Heat,2021-04-05,2020-21
16,1610612749,Milwaukee Bucks,49,32,17,0.653,48.1,44.5,91.2,0.488,14.6,37.2,0.392,15.7,20.8,0.754,10.3,37.8,48.1,25.7,14.2,8.1,4.8,4.8,17.2,18.3,119.2,6.4,19,6,5,5,20,1,2,4,4,7,3,25,22,24,12,1,2,12,17,7,18,15,2,25,1,4,10,Milwaukee Bucks,2021-04-05,2020-21
17,1610612750,Minnesota Timberwolves,51,13,38,0.255,48.3,40.0,91.1,0.439,12.6,36.4,0.346,16.6,21.5,0.771,10.4,32.7,43.0,24.8,14.2,8.7,5.6,5.8,21.1,19.1,109.2,-7.5,1,29,30,30,15,22,3,29,15,10,25,17,15,18,11,27,22,13,18,3,3,27,27,17,23,28,10,Minnesota Timberwolves,2021-04-05,2020-21
18,1610612740,New Orleans Pelicans,49,22,27,0.449,48.3,42.7,88.1,0.484,11.3,31.4,0.36,18.4,25.1,0.734,11.5,34.9,46.4,26.2,14.3,7.2,4.3,5.8,18.0,20.9,115.1,0.2,19,19,19,20,13,6,17,5,23,23,19,4,3,29,1,13,3,9,19,18,25,26,5,4,6,16,10,New Orleans Pelicans,2021-04-05,2020-21
19,1610612752,New York Knicks,51,25,26,0.49,48.1,38.8,86.0,0.451,11.0,29.2,0.377,16.3,21.3,0.765,10.2,35.4,45.7,21.0,13.5,7.1,4.9,5.7,20.7,18.2,105.0,0.9,1,13,17,17,27,25,28,22,24,29,9,19,18,21,14,7,7,29,10,20,16,25,26,26,28,12,10,New York Knicks,2021-04-05,2020-21
20,1610612760,Oklahoma City Thunder,50,20,30,0.4,48.3,38.8,87.3,0.445,12.6,36.5,0.346,15.5,21.0,0.739,8.8,36.1,44.9,22.3,15.2,6.9,4.6,4.8,17.8,18.4,105.8,-7.7,6,22,23,23,14,24,21,26,14,9,26,28,21,28,26,3,10,28,26,22,20,13,4,24,27,29,10,Oklahoma City Thunder,2021-04-05,2020-21
21,1610612753,Orlando Magic,50,17,33,0.34,48.2,38.6,89.8,0.43,11.6,32.9,0.351,15.5,19.8,0.784,10.5,35.6,46.1,22.5,13.0,6.9,4.2,5.1,16.9,18.1,104.3,-7.0,6,26,27,27,18,28,6,30,22,22,23,27,26,11,9,5,6,26,5,22,28,19,1,29,29,27,10,Orlando Magic,2021-04-05,2020-21
22,1610612755,Philadelphia 76ers,50,34,16,0.68,48.5,41.6,87.2,0.477,10.9,29.6,0.368,20.1,26.0,0.771,10.3,35.9,46.2,23.4,15.2,8.8,6.3,4.5,20.5,21.3,114.2,4.9,6,4,3,4,6,12,22,9,25,27,12,2,1,19,13,4,5,22,25,2,1,10,23,3,10,6,10,Philadelphia 76ers,2021-04-05,2020-21
23,1610612756,Phoenix Suns,49,35,14,0.714,48.5,43.0,87.7,0.49,13.0,34.3,0.379,15.6,18.8,0.832,8.4,34.9,43.3,27.3,13.0,6.9,4.2,3.7,19.5,18.1,114.6,6.9,19,2,2,2,5,4,19,2,13,15,8,26,30,3,28,13,21,1,5,25,27,1,17,28,8,2,10,Phoenix Suns,2021-04-05,2020-21
24,1610612757,Portland Trail Blazers,49,30,19,0.612,48.1,40.6,90.9,0.447,16.3,42.6,0.384,17.6,21.2,0.833,10.7,33.2,43.8,20.4,11.4,7.2,5.2,4.5,19.3,18.8,115.2,0.4,19,9,8,9,20,19,4,25,2,2,6,8,19,2,6,24,19,30,2,17,9,9,15,20,5,15,10,Portland Trail Blazers,2021-04-05,2020-21
