,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,date,season
0,1610612737,Atlanta Hawks,81,24,57,0.296,48.1,38.1,85.4,0.447,11.2,31.0,0.361,15.8,20.1,0.786,9.1,32.9,41.9,23.7,15.6,7.8,4.3,5.5,19.5,20.2,103.2,-5.4,1,26,26,26,27,29,21,25,9,7,16,22,23,5,22,23,25,8,27,12,23,27,14,14,25,26,10,Atlanta Hawks,2018-04-09,2017-18
1,1610612738,Boston Celtics,80,54,26,0.675,48.3,38.3,84.8,0.451,11.5,30.4,0.378,15.9,20.7,0.77,9.2,35.1,44.2,22.5,14.0,7.3,4.6,4.4,19.8,19.2,104.0,3.7,25,4,4,4,11,25,25,21,6,10,2,21,20,17,21,8,11,20,14,23,19,6,17,22,20,6,10,Boston Celtics,2018-04-09,2017-18
2,1610612751,Brooklyn Nets,81,28,53,0.346,48.4,38.3,86.7,0.441,12.7,35.6,0.357,17.5,22.6,0.772,9.7,34.8,44.4,23.6,15.2,6.2,4.7,5.5,20.7,19.8,106.7,-3.6,1,22,22,22,5,26,10,28,2,2,19,8,11,15,15,9,8,9,25,30,16,26,23,18,13,23,10,Brooklyn Nets,2018-04-09,2017-18
3,1610612766,Charlotte Hornets,81,35,46,0.432,48.2,38.9,86.5,0.45,10.0,27.0,0.368,20.3,27.2,0.747,10.0,35.3,45.3,21.5,12.8,6.8,4.5,4.9,17.3,22.5,108.1,-0.1,1,20,20,20,16,18,12,23,19,21,9,1,1,24,12,4,4,27,3,28,20,19,2,1,11,19,10,Charlotte Hornets,2018-04-09,2017-18
4,1610612741,Chicago Bulls,81,27,54,0.333,48.4,38.7,88.9,0.436,11.0,31.0,0.356,14.6,19.2,0.76,9.6,35.1,44.7,23.5,13.9,7.6,3.6,5.2,19.2,17.3,103.1,-6.7,1,24,24,24,5,22,1,30,10,6,21,28,27,20,16,7,6,10,13,18,30,24,10,29,26,28,10,Chicago Bulls,2018-04-09,2017-18
5,1610612739,Cleveland Cavaliers,81,50,31,0.617,48.1,40.4,84.6,0.478,12.0,32.2,0.373,18.1,23.2,0.781,8.4,33.7,42.1,23.5,13.7,7.1,3.8,4.2,18.6,20.7,111.0,1.1,1,5,6,6,23,10,26,4,3,5,5,6,9,9,29,17,23,11,9,24,28,3,5,7,5,13,10,Cleveland Cavaliers,2018-04-09,2017-18
6,1610612742,Dallas Mavericks,81,24,57,0.296,48.3,38.2,85.7,0.445,11.8,32.8,0.361,14.2,18.6,0.764,8.0,33.3,41.3,22.7,12.3,7.0,3.8,4.5,19.2,19.6,102.4,-2.7,1,26,26,26,12,28,18,26,4,4,15,29,29,19,30,21,27,17,1,25,28,8,11,20,28,22,10,Dallas Mavericks,2018-04-09,2017-18
7,1610612743,Denver Nuggets,81,46,35,0.568,48.4,40.7,86.6,0.47,11.4,30.9,0.37,17.2,22.4,0.769,11.0,33.5,44.5,25.2,15.0,7.7,4.9,4.8,18.7,20.7,110.0,1.6,1,13,13,13,5,7,11,10,7,8,8,12,12,18,2,20,7,5,23,13,12,16,6,6,6,12,10,Denver Nuggets,2018-04-09,2017-18
8,1610612765,Detroit Pistons,81,38,43,0.469,48.3,39.0,86.9,0.449,10.8,28.9,0.373,14.8,19.9,0.743,10.2,33.5,43.7,22.7,13.5,7.6,3.9,4.9,18.4,18.5,103.6,-0.5,1,19,19,19,12,17,9,24,14,16,6,26,24,26,11,19,16,16,7,19,27,18,4,26,22,20,10,Detroit Pistons,2018-04-09,2017-18
9,1610612744,Golden State Warriors,81,58,23,0.716,48.1,43.0,85.1,0.505,11.4,29.0,0.392,16.6,20.4,0.815,8.4,35.1,43.6,29.5,15.4,8.0,7.5,3.6,19.6,18.5,113.9,6.5,1,3,3,3,23,1,23,1,8,15,1,17,21,1,27,6,17,1,26,8,1,1,16,26,1,3,10,Golden State Warriors,2018-04-09,2017-18
