,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,date,season
0,1610612737,Atlanta Hawks,17,12,5,0.706,49.2,36.6,81.0,0.452,6.9,17.6,0.391,17.8,24.4,0.732,10.6,31.8,42.4,22.6,13.6,8.4,4.8,5.2,17.8,20.4,98.0,7.1,3,3,5,5,2,9,12,10,10,17,5,12,13,22,19,10,14,3,3,13,21,16,4,16,6,4,10,Atlanta Hawks,2012-01-22,2011-12
1,1610612738,Boston Celtics,15,6,9,0.4,48.0,33.5,74.2,0.452,6.0,14.1,0.427,16.5,22.3,0.743,9.1,29.2,38.3,21.5,15.6,6.1,5.1,6.2,20.6,20.4,89.6,-0.8,21,18,17,18,18,25,30,13,17,26,1,17,18,15,29,26,29,8,20,28,11,29,16,15,26,18,10,Boston Celtics,2012-01-22,2011-12
2,1610612766,Charlotte Bobcats,17,3,14,0.176,48.3,36.0,82.8,0.435,4.6,14.6,0.313,14.1,19.2,0.734,10.5,31.1,41.6,20.6,14.8,5.9,5.6,5.4,20.5,18.8,90.7,-10.4,3,28,29,29,16,12,8,17,25,22,21,29,28,21,21,18,22,18,11,30,6,21,15,24,24,29,10,Charlotte Bobcats,2012-01-22,2011-12
3,1610612741,Chicago Bulls,18,15,3,0.833,48.0,37.4,81.7,0.458,5.5,14.4,0.381,15.7,21.1,0.745,13.2,32.4,45.6,22.5,14.2,7.6,6.3,4.8,17.1,17.8,96.1,10.8,1,1,1,1,18,7,10,7,21,24,6,21,22,12,2,8,1,4,7,18,3,11,1,29,13,2,10,Chicago Bulls,2012-01-22,2011-12
4,1610612739,Cleveland Cavaliers,15,6,9,0.4,48.3,34.9,81.6,0.427,7.1,19.7,0.363,17.9,25.5,0.704,12.4,30.3,42.7,19.5,16.8,7.8,5.1,6.7,20.7,21.9,94.8,-4.2,21,18,17,18,8,19,11,22,5,12,10,11,9,28,6,24,13,20,27,17,11,30,18,8,16,23,10,Cleveland Cavaliers,2012-01-22,2011-12
5,1610612742,Dallas Mavericks,17,10,7,0.588,48.0,34.0,78.5,0.433,6.5,21.6,0.302,17.4,23.3,0.745,9.6,32.5,42.1,20.7,14.9,9.7,4.5,3.3,20.4,18.9,91.9,3.5,3,9,12,12,18,22,25,18,13,5,24,14,15,11,27,6,17,17,12,4,22,2,13,23,22,9,10,Dallas Mavericks,2012-01-22,2011-12
6,1610612743,Denver Nuggets,17,12,5,0.706,48.9,38.4,80.1,0.479,7.1,20.3,0.351,21.6,29.2,0.74,9.1,32.9,42.1,24.5,16.5,10.2,4.8,6.1,18.4,24.1,105.5,5.5,3,3,5,5,4,5,18,2,6,8,13,2,1,17,30,5,19,1,26,2,20,27,5,2,1,5,10,Denver Nuggets,2012-01-22,2011-12
7,1610612765,Detroit Pistons,17,4,13,0.235,48.0,32.5,76.2,0.427,4.9,13.2,0.369,15.4,19.6,0.781,10.9,26.5,37.5,18.1,17.1,7.0,3.8,5.1,19.2,18.6,85.3,-9.4,3,26,26,26,18,29,28,24,24,27,8,24,26,8,16,30,30,26,30,22,29,15,8,25,30,27,10,Detroit Pistons,2012-01-22,2011-12
8,1610612744,Golden State Warriors,15,5,10,0.333,48.3,36.4,80.3,0.453,6.7,18.8,0.355,16.1,22.3,0.722,10.3,30.7,41.1,21.3,15.0,8.5,4.9,4.3,24.4,18.5,95.6,-3.8,21,24,22,24,8,10,17,9,11,14,11,18,16,26,23,21,24,10,14,10,17,6,29,26,14,22,10,Golden State Warriors,2012-01-22,2011-12
9,1610612745,Houston Rockets,16,9,7,0.563,48.9,38.4,85.1,0.451,6.9,21.0,0.33,13.7,16.8,0.817,12.4,31.4,43.8,20.9,14.7,6.9,5.0,5.6,20.8,16.4,97.4,-0.1,12,13,12,14,3,4,1,15,9,6,19,30,30,1,7,14,6,16,10,23,14,23,19,30,8,17,10,Houston Rockets,2012-01-22,2011-12
