,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,date,season
0,1610612737,Atlanta Hawks,74,26,48,0.351,48.4,41.1,91.0,0.452,12.8,36.3,0.353,17.6,23.3,0.754,11.6,34.4,46.0,25.7,17.5,8.2,5.1,5.5,23.7,22.3,112.6,-6.0,1,26,26,26,10,15,5,20,4,3,16,17,15,22,4,19,11,9,30,12,16,24,29,6,13,26,10,Atlanta Hawks,2019-03-23,2018-19
1,1610612738,Boston Celtics,73,43,30,0.589,48.3,42.2,90.7,0.465,12.8,35.0,0.365,15.6,19.4,0.805,9.9,34.6,44.5,26.5,13.0,8.7,5.4,3.9,20.6,19.8,112.8,4.8,7,9,9,9,18,8,7,13,5,6,6,28,29,3,21,18,22,6,3,4,8,2,11,27,12,5,10,Boston Celtics,2019-03-23,2018-19
2,1610612751,Brooklyn Nets,74,38,36,0.514,48.7,40.0,89.2,0.449,12.6,35.6,0.353,18.9,25.4,0.746,10.7,35.3,46.0,23.8,15.1,6.7,4.3,5.4,21.7,22.1,111.6,-0.3,1,14,15,15,1,20,15,24,6,5,15,6,5,23,11,13,12,19,25,27,28,22,22,7,18,17,10,Brooklyn Nets,2019-03-23,2018-19
3,1610612766,Charlotte Hornets,72,33,39,0.458,48.3,40.2,90.0,0.447,11.8,33.6,0.351,18.3,23.1,0.793,10.2,34.2,44.4,22.9,12.6,7.0,5.1,6.1,19.4,20.7,110.6,-1.0,24,19,19,19,11,18,11,27,11,10,18,10,16,7,15,20,23,24,2,21,14,30,3,19,20,21,10,Charlotte Hornets,2019-03-23,2018-19
4,1610612741,Chicago Bulls,74,21,53,0.284,48.6,39.8,87.6,0.454,9.3,26.2,0.356,16.4,20.8,0.788,8.6,34.1,42.6,22.1,14.4,7.4,4.4,5.6,20.5,19.1,105.3,-7.9,1,27,27,27,3,23,23,18,30,27,12,25,28,11,29,21,25,27,20,20,26,26,10,29,27,27,10,Chicago Bulls,2019-03-23,2018-19
5,1610612739,Cleveland Cavaliers,73,19,54,0.26,48.2,38.6,87.4,0.442,10.5,29.2,0.36,16.6,20.9,0.795,10.6,32.0,42.6,20.8,13.5,6.5,2.5,5.5,20.3,19.6,104.4,-8.9,7,28,28,28,22,27,24,28,20,22,8,23,27,6,13,28,26,29,6,29,30,25,8,28,29,28,10,Cleveland Cavaliers,2019-03-23,2018-19
6,1610612742,Dallas Mavericks,73,29,44,0.397,48.2,38.6,86.3,0.447,12.3,36.0,0.342,18.9,25.5,0.741,10.1,34.8,44.8,23.0,14.6,6.8,4.3,4.5,20.0,23.5,108.4,-1.5,7,24,23,24,22,28,29,26,7,4,27,7,4,25,17,16,19,23,22,24,27,8,6,2,21,22,10,Dallas Mavericks,2019-03-23,2018-19
7,1610612743,Denver Nuggets,71,49,22,0.69,48.1,42.4,90.2,0.469,11.3,31.6,0.358,16.0,21.2,0.756,12.1,34.6,46.8,27.7,13.5,7.7,4.5,5.0,20.2,20.6,112.0,5.2,30,3,2,3,25,7,8,10,14,16,11,27,26,20,2,17,6,2,7,13,25,15,7,20,15,4,10,Denver Nuggets,2019-03-23,2018-19
8,1610612765,Detroit Pistons,72,37,35,0.514,48.5,39.1,88.4,0.442,12.2,34.7,0.351,17.3,23.3,0.743,11.4,33.7,45.1,22.7,14.1,6.9,3.9,5.2,22.3,21.6,107.7,-0.2,24,15,14,14,4,25,18,29,8,7,19,20,14,24,7,24,18,26,16,23,29,19,25,10,23,16,10,Detroit Pistons,2019-03-23,2018-19
9,1610612744,Golden State Warriors,72,49,23,0.681,48.3,43.6,89.8,0.486,12.9,34.5,0.376,17.0,21.2,0.803,9.8,36.3,46.1,29.1,14.1,7.6,6.4,3.7,21.6,20.1,117.2,5.6,24,3,4,4,16,2,12,1,3,8,3,21,25,4,22,4,10,1,14,16,1,1,21,24,2,2,10,Golden State Warriors,2019-03-23,2018-19
