,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,date,season
0,1610612737,Atlanta Hawks,60,18,42,0.3,48.1,38.2,84.9,0.45,10.9,30.1,0.363,16.2,20.5,0.793,9.4,31.5,40.9,23.7,15.4,7.9,4.4,5.3,19.8,20.8,103.5,-4.5,6,25,28,28,28,24,23,23,11,10,14,19,22,7,17,26,26,6,25,13,22,26,15,8,23,27,10,Atlanta Hawks,2018-02-24,2017-18
1,1610612738,Boston Celtics,61,42,19,0.689,48.2,38.0,85.1,0.447,11.7,31.6,0.372,15.7,20.5,0.767,9.2,35.1,44.3,22.1,13.8,7.2,4.7,4.4,20.3,18.8,103.5,3.7,2,3,4,4,16,25,20,24,6,6,7,23,21,18,20,7,10,21,9,22,16,6,20,25,22,4,10,Boston Celtics,2018-02-24,2017-18
2,1610612751,Brooklyn Nets,60,19,41,0.317,48.4,37.8,86.9,0.435,12.1,34.9,0.346,17.5,22.8,0.77,10.1,35.0,45.2,22.7,15.3,6.1,4.2,5.8,20.8,19.9,105.2,-4.4,6,24,25,24,4,27,6,30,3,2,28,10,11,15,10,9,4,16,24,30,25,30,23,18,16,26,10,Brooklyn Nets,2018-02-24,2017-18
3,1610612766,Charlotte Hornets,59,26,33,0.441,48.3,38.5,86.8,0.443,9.8,26.7,0.366,19.6,26.6,0.739,10.3,35.4,45.7,21.1,12.7,6.9,4.6,5.1,17.7,22.3,106.4,-0.1,14,20,20,20,12,22,8,27,21,22,11,2,1,27,8,4,3,27,3,27,18,21,2,2,13,18,10,Charlotte Hornets,2018-02-24,2017-18
4,1610612741,Chicago Bulls,59,20,39,0.339,48.6,38.9,88.8,0.438,11.0,30.8,0.358,14.6,19.1,0.767,9.2,35.6,44.7,23.6,13.7,7.0,3.8,4.8,19.2,17.7,103.5,-6.0,14,23,23,23,2,18,2,29,9,7,18,27,28,17,21,3,7,9,8,25,29,15,8,29,21,28,10,Chicago Bulls,2018-02-24,2017-18
5,1610612739,Cleveland Cavaliers,58,35,23,0.603,48.2,39.8,83.8,0.475,12.1,32.8,0.367,18.4,23.3,0.789,8.1,33.6,41.7,23.6,14.2,7.1,3.9,4.1,18.7,21.0,110.1,0.5,22,6,5,5,17,11,26,6,2,3,9,5,8,9,28,16,24,8,15,23,28,4,6,5,5,15,10,Cleveland Cavaliers,2018-02-24,2017-18
6,1610612742,Dallas Mavericks,60,18,42,0.3,48.2,37.8,85.0,0.445,11.8,32.6,0.361,14.5,18.8,0.769,7.7,32.8,40.5,22.5,12.4,7.1,3.9,4.5,19.4,20.2,101.9,-2.8,6,25,28,28,20,27,22,25,5,4,16,29,29,16,30,23,29,19,1,24,27,7,10,14,26,23,10,Dallas Mavericks,2018-02-24,2017-18
7,1610612743,Denver Nuggets,59,33,26,0.559,48.3,40.3,86.4,0.466,11.2,30.5,0.366,16.4,21.5,0.761,11.3,33.2,44.5,24.5,15.1,7.7,4.6,5.0,18.1,20.1,108.1,1.1,14,12,11,13,12,7,12,10,8,9,10,17,16,21,2,19,8,4,22,16,18,17,4,16,8,13,10,Denver Nuggets,2018-02-24,2017-18
8,1610612765,Detroit Pistons,58,28,30,0.483,48.1,38.9,86.4,0.45,10.7,28.7,0.373,14.8,19.8,0.75,10.0,33.0,43.0,22.7,13.6,7.5,3.8,5.1,18.5,18.2,103.3,-0.3,22,19,19,19,23,19,11,22,13,17,4,26,25,25,11,20,19,15,7,17,30,22,5,28,24,19,10,Detroit Pistons,2018-02-24,2017-18
9,1610612744,Golden State Warriors,60,46,14,0.767,48.2,43.6,85.3,0.511,11.8,29.9,0.396,17.1,21.1,0.81,8.6,35.7,44.3,30.6,15.9,8.1,7.9,3.6,19.9,18.6,116.1,8.5,6,1,2,2,20,1,19,1,4,11,1,13,18,1,27,2,11,1,28,10,1,1,16,26,1,2,10,Golden State Warriors,2018-02-24,2017-18
