,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,date,season
0,1610612737,Atlanta Hawks,35,23,12,0.657,48.4,39.7,84.1,0.473,6.8,18.5,0.367,17.8,23.2,0.767,11.7,30.2,41.9,22.1,12.3,7.8,5.6,4.7,20.5,20.0,104.1,6.7,13,6,5,6,7,4,7,8,10,11,5,23,24,12,10,19,14,8,1,8,8,14,7,27,4,2,10,Atlanta Hawks,2010-01-08,2009-10
1,1610612738,Boston Celtics,34,25,9,0.735,48.3,37.3,76.8,0.485,6.5,18.6,0.349,19.4,25.5,0.76,9.1,30.1,39.2,23.9,15.4,9.0,5.3,4.4,21.7,22.5,100.4,7.3,21,3,2,3,10,18,29,3,13,10,14,9,11,16,29,20,29,2,22,2,10,10,21,4,14,1,10,Boston Celtics,2010-01-08,2009-10
2,1610612766,Charlotte Bobcats,34,15,19,0.441,48.4,34.0,76.5,0.445,5.5,16.6,0.33,19.3,26.1,0.737,10.1,29.8,39.9,18.8,16.5,7.9,4.6,6.6,20.3,21.8,92.8,-0.3,21,19,20,20,6,29,30,22,21,20,22,10,6,21,25,24,27,26,30,5,20,30,4,11,27,15,10,Charlotte Bobcats,2010-01-08,2009-10
3,1610612741,Chicago Bulls,34,14,20,0.412,48.3,35.8,82.9,0.431,3.6,10.9,0.328,17.2,22.7,0.756,12.8,32.2,45.0,20.3,15.4,6.6,6.1,6.2,19.8,20.4,92.3,-5.3,21,22,21,22,10,25,13,28,30,30,23,27,27,19,3,5,2,19,19,26,2,28,2,24,28,27,10,Chicago Bulls,2010-01-08,2009-10
4,1610612739,Cleveland Cavaliers,38,28,10,0.737,48.3,37.3,77.5,0.481,7.4,17.8,0.416,18.4,25.0,0.736,9.7,32.6,42.2,21.4,14.5,6.9,5.8,4.1,20.6,20.3,100.4,6.7,1,1,3,2,17,16,27,4,7,13,2,17,14,23,28,3,12,12,14,20,7,4,8,25,13,3,10,Cleveland Cavaliers,2010-01-08,2009-10
5,1610612742,Dallas Mavericks,36,25,11,0.694,48.7,38.1,83.1,0.459,6.4,18.1,0.354,18.3,22.9,0.802,10.9,32.5,43.4,22.8,13.2,7.4,6.1,4.0,19.2,21.5,101.0,3.6,6,3,4,4,3,10,12,15,15,12,11,18,26,1,17,4,5,5,3,13,3,3,1,15,12,8,10,Dallas Mavericks,2010-01-08,2009-10
6,1610612743,Denver Nuggets,36,23,13,0.639,48.0,38.2,81.4,0.469,5.9,16.0,0.366,24.8,31.6,0.787,11.0,29.8,40.8,21.3,14.1,8.6,5.1,5.9,22.7,24.4,107.0,4.9,6,6,7,7,25,9,17,10,18,22,7,1,1,3,14,25,23,15,9,3,16,26,24,1,3,6,10,Denver Nuggets,2010-01-08,2009-10
7,1610612765,Detroit Pistons,34,11,23,0.324,48.1,34.8,79.8,0.437,4.1,14.3,0.284,17.8,24.9,0.716,13.3,27.8,41.1,17.0,14.2,6.9,3.8,5.5,23.7,21.9,91.5,-4.9,21,25,25,25,18,28,21,26,26,25,29,22,16,29,2,30,21,30,10,19,28,23,28,9,29,26,10,Detroit Pistons,2010-01-08,2009-10
8,1610612744,Golden State Warriors,35,11,24,0.314,48.1,40.4,84.8,0.476,5.9,16.6,0.354,20.6,26.3,0.783,8.7,28.7,37.4,21.3,16.3,9.9,4.7,5.4,23.8,22.4,107.3,-4.4,13,25,26,26,22,2,3,7,17,19,13,3,5,4,30,27,30,14,28,1,19,21,29,6,2,25,10,Golden State Warriors,2010-01-08,2009-10
9,1610612745,Houston Rockets,36,20,16,0.556,48.3,37.3,84.1,0.444,7.7,22.6,0.341,17.7,23.3,0.76,12.2,29.8,41.9,22.0,14.6,7.3,3.6,6.6,21.0,21.6,100.0,0.3,6,11,11,11,16,17,6,23,5,4,20,24,23,15,6,26,13,9,17,16,29,29,17,14,15,14,10,Houston Rockets,2010-01-08,2009-10
