winprob_home,winprob_away
0.8828025,0.11719757
0.28708535,0.71291465
0.9299553,0.07004463
0.33222875,0.6677713
0.2177314,0.7822686
0.2988348,0.7011652
0.4451163,0.5548837
0.78429043,0.21570955
0.8705062,0.12949376
0.4227714,0.5772286
0.9232375,0.07676245
0.4452815,0.5547185
0.1841296,0.8158704
0.85370547,0.14629452
0.7987424,0.20125753
0.17547356,0.8245264
0.28682882,0.71317124
0.94268924,0.057310726
0.6375202,0.36247978
0.13652815,0.8634718
0.8532775,0.14672251
0.92413944,0.07586055
0.4038996,0.59610033
0.28994247,0.7100575
0.9317661,0.06823398
0.058882907,0.9411171
0.9124107,0.08758933
0.30197978,0.6980202
0.69419694,0.305803
0.9542536,0.045746394
0.8518615,0.14813855
0.97949284,0.020507187
0.12507856,0.8749215
0.0895703,0.91042966
0.8283769,0.17162314
0.83809316,0.16190678
0.879515,0.12048498
0.2881393,0.7118607
0.4206747,0.57932526
0.3485028,0.6514972
0.4022526,0.5977473
0.20058906,0.79941094
0.95597184,0.044028163
0.77300906,0.2269909
0.6135425,0.38645753
0.9453238,0.05467612
0.5676737,0.4323263
0.86985177,0.13014817
0.79054767,0.20945232
0.87938267,0.12061729
0.06886658,0.93113345
0.9477717,0.052228283
0.36769155,0.6323085
0.85381866,0.14618134
0.3846278,0.6153722
0.99177176,0.008228202
0.12630586,0.8736941
0.9020444,0.0979556
0.28927624,0.71072376
0.10093758,0.8990624
0.7741504,0.22584963
0.5457619,0.45423812
0.46409932,0.5359007
0.44144183,0.5585582
0.082049884,0.9179501
0.5770277,0.42297235
0.90646577,0.093534306
0.26085895,0.73914105
0.850923,0.14907703
0.0986332,0.90136683
0.6770815,0.3229185
0.50592977,0.49407023
0.97588956,0.02411041
0.93458533,0.0654147
0.90775585,0.09224412
0.93863773,0.061362285
0.34345493,0.65654504
0.3096223,0.69037765
0.9014978,0.09850222
0.82607126,0.1739288
0.74816513,0.25183484
0.6967748,0.30322522
0.8997005,0.10029943
0.719499,0.28050098
0.11457091,0.8854291
0.6476848,0.35231522
0.36401388,0.63598615
0.6483764,0.35162365
0.89972407,0.10027594
0.95391595,0.046084102
0.22724935,0.7727506
0.72616994,0.27383
0.95772874,0.04227132
0.47269496,0.52730507
0.36002505,0.63997495
0.9432677,0.05673224
0.47900352,0.52099645
0.41892132,0.5810787
0.9423467,0.057653304
0.36462355,0.63537645
0.59261376,0.4073862
0.95074797,0.049252022
0.55429524,0.4457048
0.38340002,0.6166
0.86979514,0.13020483
0.7602897,0.2397103
0.85839915,0.14160079
0.3428765,0.65712357
0.87660974,0.12339023
0.18234533,0.81765467
0.98355466,0.016445337
0.96011245,0.039887596
0.7185116,0.28148848
0.85864305,0.14135695
0.57296467,0.42703536
0.3690261,0.6309739
0.6331745,0.36682558
0.7170791,0.28292093
0.54041237,0.4595877
0.26195827,0.7380417
0.93983054,0.060169484
