,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,date,season
0,2008-12-11T00:00:00,1,0020800323,1610612738,BOS,Boston,21-2,36,27,26,33,0,0,0,0,,,,,,,122,0.557,0.788,0.533,31,41,18,2008-12-11,2008-09
1,2008-12-11T00:00:00,1,0020800323,1610612764,WAS,Washington,4-16,21,18,35,14,0,0,0,0,,,,,,,88,0.431,0.815,0.222,16,26,22,2008-12-11,2008-09
2,2008-12-11T00:00:00,2,0020800324,1610612766,CHA,Charlotte,7-16,26,28,20,16,0,0,0,0,,,,,,,90,0.487,0.632,0.2,19,44,10,2008-12-11,2008-09
3,2008-12-11T00:00:00,2,0020800324,1610612742,DAL,Dallas,12-9,26,27,21,21,0,0,0,0,,,,,,,95,0.45,0.938,0.4,25,38,7,2008-12-11,2008-09
4,2008-12-11T00:00:00,3,0020800325,1610612757,POR,Portland,15-9,27,19,20,22,0,0,0,0,,,,,,,88,0.442,0.737,0.222,13,43,13,2008-12-11,2008-09
5,2008-12-11T00:00:00,3,0020800325,1610612762,UTA,Utah,15-9,29,28,21,19,0,0,0,0,,,,,,,97,0.486,0.8,0.3,23,38,11,2008-12-11,2008-09
