,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,date,season
0,2012-12-31T00:00:00,1,0021200452,1610612763,MEM,Memphis,19-9,19,22,26,16,0,0,0,0,0,0,0,0,0,0,83,0.378,0.75,0.273,17,44,16,2012-12-31,2012-13
1,2012-12-31T00:00:00,1,0021200452,1610612754,IND,Indiana,18-13,19,19,22,28,0,0,0,0,0,0,0,0,0,0,88,0.4,0.833,0.48,21,38,18,2012-12-31,2012-13
2,2012-12-31T00:00:00,2,0021200453,1610612766,CHA,Charlotte,8-23,28,19,18,26,0,0,0,0,0,0,0,0,0,0,91,0.471,0.553,0.4,14,52,18,2012-12-31,2012-13
3,2012-12-31T00:00:00,2,0021200453,1610612741,CHI,Chicago,16-13,18,24,23,16,0,0,0,0,0,0,0,0,0,0,81,0.351,0.611,0.25,24,49,11,2012-12-31,2012-13
4,2012-12-31T00:00:00,3,0021200454,1610612748,MIA,Miami,21-8,31,17,22,29,13,0,0,0,0,0,0,0,0,0,112,0.471,0.743,0.286,24,33,7,2012-12-31,2012-13
5,2012-12-31T00:00:00,3,0021200454,1610612753,ORL,Orlando,12-19,22,32,23,22,11,0,0,0,0,0,0,0,0,0,110,0.477,0.818,0.348,24,50,16,2012-12-31,2012-13
6,2012-12-31T00:00:00,4,0021200455,1610612737,ATL,Atlanta,19-10,27,19,29,29,0,0,0,0,0,0,0,0,0,0,104,0.478,0.857,0.522,24,36,14,2012-12-31,2012-13
7,2012-12-31T00:00:00,4,0021200455,1610612745,HOU,Houston,17-14,26,38,26,33,0,0,0,0,0,0,0,0,0,0,123,0.536,0.773,0.552,30,40,9,2012-12-31,2012-13
8,2012-12-31T00:00:00,5,0021200457,1610612751,BKN,Brooklyn,16-15,22,25,5,21,0,0,0,0,0,0,0,0,0,0,73,0.378,0.765,0.235,14,35,16,2012-12-31,2012-13
9,2012-12-31T00:00:00,5,0021200457,1610612759,SAS,San Antonio,25-8,31,24,30,19,0,0,0,0,0,0,0,0,0,0,104,0.589,0.75,0.429,25,36,13,2012-12-31,2012-13
10,2012-12-31T00:00:00,6,0021200456,1610612756,PHX,Phoenix,11-21,28,25,25,18,0,0,0,0,0,0,0,0,0,0,96,0.474,0.824,0.333,19,41,13,2012-12-31,2012-13
11,2012-12-31T00:00:00,6,0021200456,1610612760,OKC,Oklahoma City,24-6,32,22,30,30,0,0,0,0,0,0,0,0,0,0,114,0.506,0.875,0.333,23,43,5,2012-12-31,2012-13
