,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,date,season
0,2010-02-26T00:00:00,1,0020900859,1610612739,CLE,Cleveland,46-14,33,27,26,25,15,0,0,0,,,,,,,126,0.512,0.861,0.379,29,42,14,2010-02-26,2009-10
1,2010-02-26T00:00:00,1,0020900859,1610612761,TOR,Toronto,31-26,30,30,22,29,7,0,0,0,,,,,,,118,0.484,0.8,0.32,23,31,10,2010-02-26,2009-10
2,2010-02-26T00:00:00,2,0020900860,1610612752,NYK,New York,20-37,24,28,29,31,6,0,0,0,,,,,,,118,0.484,0.727,0.353,27,45,18,2010-02-26,2009-10
3,2010-02-26T00:00:00,2,0020900860,1610612764,WAS,Washington,20-36,30,29,26,27,4,0,0,0,,,,,,,116,0.528,0.571,0.556,34,43,19,2010-02-26,2009-10
4,2010-02-26T00:00:00,3,0020900861,1610612742,DAL,Dallas,38-21,29,21,15,34,12,0,0,0,,,,,,,111,0.522,0.727,0.333,37,50,13,2010-02-26,2009-10
5,2010-02-26T00:00:00,3,0020900861,1610612737,ATL,Atlanta,36-21,19,31,26,23,4,0,0,0,,,,,,,103,0.4,0.857,0.346,32,41,7,2010-02-26,2009-10
6,2010-02-26T00:00:00,4,0020900862,1610612757,POR,Portland,34-27,22,29,28,24,8,0,0,0,,,,,,,111,0.512,0.8,0.333,20,29,13,2010-02-26,2009-10
7,2010-02-26T00:00:00,4,0020900862,1610612741,CHI,Chicago,31-27,31,21,28,23,12,0,0,0,,,,,,,115,0.575,0.786,0.167,23,43,21,2010-02-26,2009-10
8,2010-02-26T00:00:00,5,0020900863,1610612766,CHA,Charlotte,28-29,26,22,21,24,0,0,0,0,,,,,,,93,0.481,0.579,0.353,17,39,15,2010-02-26,2009-10
9,2010-02-26T00:00:00,5,0020900863,1610612763,MEM,Memphis,29-29,27,20,19,23,0,0,0,0,,,,,,,89,0.486,0.667,0.45,19,37,19,2010-02-26,2009-10
10,2010-02-26T00:00:00,6,0020900865,1610612750,MIN,Minnesota,14-46,19,22,24,27,0,0,0,0,,,,,,,92,0.407,0.882,0.188,21,43,15,2010-02-26,2009-10
11,2010-02-26T00:00:00,6,0020900865,1610612760,OKC,Oklahoma City,34-23,30,25,29,25,0,0,0,0,,,,,,,109,0.543,0.76,0.182,29,47,17,2010-02-26,2009-10
12,2010-02-26T00:00:00,7,0020900866,1610612759,SAS,San Antonio,32-24,14,27,28,35,0,0,0,0,,,,,,,104,0.447,0.733,0.286,21,46,16,2010-02-26,2009-10
13,2010-02-26T00:00:00,7,0020900866,1610612745,HOU,Houston,29-28,31,28,26,24,0,0,0,0,,,,,,,109,0.456,0.895,0.188,18,38,13,2010-02-26,2009-10
14,2010-02-26T00:00:00,8,0020900867,1610612765,DET,Detroit,21-37,29,20,26,27,0,0,0,0,,,,,,,102,0.446,0.7,0.375,21,50,17,2010-02-26,2009-10
15,2010-02-26T00:00:00,8,0020900867,1610612743,DEN,Denver,39-19,22,31,24,30,0,0,0,0,,,,,,,107,0.455,0.784,0.444,21,38,15,2010-02-26,2009-10
16,2010-02-26T00:00:00,9,0020900870,1610612746,LAC,Los Angeles,24-34,28,31,27,26,0,0,0,0,,,,,,,112,0.483,0.737,0.48,24,34,8,2010-02-26,2009-10
17,2010-02-26T00:00:00,9,0020900870,1610612756,PHX,Phoenix,37-23,36,27,33,29,0,0,0,0,,,,,,,125,0.571,0.769,0.474,29,40,12,2010-02-26,2009-10
18,2010-02-26T00:00:00,10,0020900864,1610612753,ORL,Orlando,39-20,21,35,24,13,0,0,0,0,,,,,,,93,0.494,0.625,0.259,19,38,18,2010-02-26,2009-10
19,2010-02-26T00:00:00,10,0020900864,1610612740,NOH,New Orleans,31-28,26,20,26,28,0,0,0,0,,,,,,,100,0.481,0.76,0.375,13,43,10,2010-02-26,2009-10
20,2010-02-26T00:00:00,11,0020900868,1610612762,UTA,Utah,37-21,20,30,25,24,0,0,0,0,,,,,,,99,0.409,0.786,0.238,29,48,12,2010-02-26,2009-10
21,2010-02-26T00:00:00,11,0020900868,1610612758,SAC,Sacramento,19-39,25,24,26,28,0,0,0,0,,,,,,,103,0.545,0.571,0.333,24,37,7,2010-02-26,2009-10
22,2010-02-26T00:00:00,12,0020900869,1610612755,PHI,Philadelphia,22-36,25,26,18,21,0,0,0,0,,,,,,,90,0.44,0.636,0.188,23,43,10,2010-02-26,2009-10
23,2010-02-26T00:00:00,12,0020900869,1610612747,LAL,Los Angeles,44-15,24,26,24,25,0,0,0,0,,,,,,,99,0.451,0.857,0.357,22,47,10,2010-02-26,2009-10
