,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,date,season
0,2008-03-26T00:00:00,1,0020701069,1610612766,CHA,Charlotte,26-45,27,30,25,26,0,0,0,0,,,,,,,108,0.5,0.679,0.458,26,52,18,2008-03-26,2007-08
1,2008-03-26T00:00:00,1,0020701069,1610612747,LAL,Los Angeles,49-23,24,20,24,27,0,0,0,0,,,,,,,95,0.41,0.76,0.296,20,40,13,2008-03-26,2007-08
2,2008-03-26T00:00:00,2,0020701068,1610612764,WAS,Washington,37-34,29,21,18,36,0,0,0,0,,,,,,,104,0.463,0.9,0.357,22,32,9,2008-03-26,2007-08
3,2008-03-26T00:00:00,2,0020701068,1610612760,SEA,Seattle,17-55,23,33,19,24,0,0,0,0,,,,,,,99,0.459,0.833,0.111,18,49,13,2008-03-26,2007-08
4,2008-03-26T00:00:00,3,0020701058,1610612765,DET,Detroit,50-21,20,15,16,31,0,0,0,0,,,,,,,82,0.408,0.846,0.5,20,41,14,2008-03-26,2007-08
5,2008-03-26T00:00:00,3,0020701058,1610612761,TOR,Toronto,36-35,19,14,28,28,0,0,0,0,,,,,,,89,0.493,0.923,0.385,26,35,11,2008-03-26,2007-08
6,2008-03-26T00:00:00,4,0020701059,1610612748,MIA,Miami,13-58,20,20,25,27,4,0,0,0,,,,,,,96,0.372,0.68,0.484,22,42,10,2008-03-26,2007-08
7,2008-03-26T00:00:00,4,0020701059,1610612752,NYK,New York,20-51,26,22,15,29,11,0,0,0,,,,,,,103,0.404,0.593,0.35,16,69,14,2008-03-26,2007-08
8,2008-03-26T00:00:00,5,0020701060,1610612741,CHI,Chicago,28-43,19,30,28,22,0,0,0,0,,,,,,,99,0.395,0.833,0.44,23,41,14,2008-03-26,2007-08
9,2008-03-26T00:00:00,5,0020701060,1610612755,PHI,Philadelphia,37-35,34,31,26,30,0,0,0,0,,,,,,,121,0.543,0.688,0.44,36,46,10,2008-03-26,2007-08
10,2008-03-26T00:00:00,6,0020701061,1610612749,MIL,Milwaukee,24-46,37,23,22,14,0,0,0,0,,,,,,,96,0.481,0.696,0.4,23,41,20,2008-03-26,2007-08
11,2008-03-26T00:00:00,6,0020701061,1610612737,ATL,Atlanta,31-40,32,33,29,21,0,0,0,0,,,,,,,115,0.573,0.733,0.368,25,27,11,2008-03-26,2007-08
12,2008-03-26T00:00:00,7,0020701062,1610612740,NOH,New Orleans,49-21,25,31,17,27,0,0,0,0,,,,,,,100,0.438,0.864,0.5,27,33,8,2008-03-26,2007-08
13,2008-03-26T00:00:00,7,0020701062,1610612739,CLE,Cleveland,40-32,23,27,21,28,0,0,0,0,,,,,,,99,0.5,0.667,0.294,23,48,13,2008-03-26,2007-08
14,2008-03-26T00:00:00,8,0020701063,1610612756,PHX,Phoenix,47-24,20,37,16,24,0,0,0,0,,,,,,,97,0.559,0.895,0.308,27,27,21,2008-03-26,2007-08
15,2008-03-26T00:00:00,8,0020701063,1610612738,BOS,Boston,56-15,33,24,27,33,0,0,0,0,,,,,,,117,0.523,0.786,0.385,27,41,14,2008-03-26,2007-08
16,2008-03-26T00:00:00,9,0020701064,1610612754,IND,Indiana,29-43,29,31,28,29,0,0,0,0,,,,,,,117,0.461,0.913,0.467,30,41,7,2008-03-26,2007-08
17,2008-03-26T00:00:00,9,0020701064,1610612751,NJN,New Jersey,31-41,42,26,30,26,0,0,0,0,,,,,,,124,0.544,0.676,0.5,29,43,10,2008-03-26,2007-08
18,2008-03-26T00:00:00,10,0020701065,1610612750,MIN,Minnesota,18-52,23,19,18,26,0,0,0,0,,,,,,,86,0.429,0.737,0.462,19,38,14,2008-03-26,2007-08
19,2008-03-26T00:00:00,10,0020701065,1610612745,HOU,Houston,49-23,24,22,23,28,0,0,0,0,,,,,,,97,0.426,0.765,0.211,22,58,12,2008-03-26,2007-08
20,2008-03-26T00:00:00,11,0020701066,1610612746,LAC,Los Angeles,21-50,18,26,27,17,0,0,0,0,,,,,,,88,0.39,0.813,0.222,14,40,8,2008-03-26,2007-08
21,2008-03-26T00:00:00,11,0020701066,1610612759,SAS,San Antonio,49-23,27,21,26,23,0,0,0,0,,,,,,,97,0.5,0.704,0.333,17,41,10,2008-03-26,2007-08
22,2008-03-26T00:00:00,12,0020701067,1610612763,MEM,Memphis,18-53,24,26,23,25,8,0,0,0,,,,,,,106,0.488,0.727,0.261,21,44,23,2008-03-26,2007-08
23,2008-03-26T00:00:00,12,0020701067,1610612758,SAC,Sacramento,32-39,23,19,38,18,9,0,0,0,,,,,,,107,0.398,0.968,0.233,24,46,18,2008-03-26,2007-08
