,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,date,season
0,2021-12-03T00:00:00,1,0022100333,1610612748,MIA,Miami,14-9,32,30,30,21,0,0,0,0,0,0,0,0,0,0,113,0.531,0.846,0.471,24,38,13,2021-12-03,2021-22
1,2021-12-03T00:00:00,1,0022100333,1610612754,IND,Indiana,9-16,25,30,26,23,0,0,0,0,0,0,0,0,0,0,104,0.438,0.758,0.25,20,39,12,2021-12-03,2021-22
2,2021-12-03T00:00:00,2,0022100334,1610612739,CLE,Cleveland,13-10,34,31,34,17,0,0,0,0,0,0,0,0,0,0,116,0.472,0.76,0.433,30,54,14,2021-12-03,2021-22
3,2021-12-03T00:00:00,2,0022100334,1610612764,WAS,Washington,14-9,29,17,26,29,0,0,0,0,0,0,0,0,0,0,101,0.463,0.789,0.323,21,33,8,2021-12-03,2021-22
4,2021-12-03T00:00:00,3,0022100335,1610612755,PHI,Philadelphia,12-11,31,13,34,20,0,0,0,0,0,0,0,0,0,0,98,0.469,0.765,0.409,22,40,11,2021-12-03,2021-22
5,2021-12-03T00:00:00,3,0022100335,1610612737,ATL,Atlanta,12-11,22,30,35,9,0,0,0,0,0,0,0,0,0,0,96,0.408,0.8,0.357,20,47,14,2021-12-03,2021-22
6,2021-12-03T00:00:00,4,0022100336,1610612750,MIN,Minnesota,11-12,34,21,30,20,0,0,0,0,0,0,0,0,0,0,105,0.387,0.833,0.31,22,44,15,2021-12-03,2021-22
7,2021-12-03T00:00:00,4,0022100336,1610612751,BKN,Brooklyn,16-6,27,32,27,24,0,0,0,0,0,0,0,0,0,0,110,0.474,0.78,0.261,26,41,17,2021-12-03,2021-22
8,2021-12-03T00:00:00,5,0022100337,1610612753,ORL,Orlando,5-19,24,32,27,33,0,0,0,0,0,0,0,0,0,0,116,0.488,0.905,0.351,24,45,18,2021-12-03,2021-22
9,2021-12-03T00:00:00,5,0022100337,1610612745,HOU,Houston,6-16,31,23,30,34,0,0,0,0,0,0,0,0,0,0,118,0.478,0.867,0.362,33,35,10,2021-12-03,2021-22
10,2021-12-03T00:00:00,6,0022100338,1610612740,NOP,New Orleans,7-18,14,30,35,28,0,0,0,0,0,0,0,0,0,0,107,0.411,0.75,0.4,30,55,10,2021-12-03,2021-22
11,2021-12-03T00:00:00,6,0022100338,1610612742,DAL,Dallas,11-10,19,29,20,23,0,0,0,0,0,0,0,0,0,0,91,0.405,0.654,0.294,17,42,15,2021-12-03,2021-22
12,2021-12-03T00:00:00,7,0022100339,1610612738,BOS,Boston,12-11,25,31,41,33,0,0,0,0,0,0,0,0,0,0,130,0.516,1.0,0.359,23,30,6,2021-12-03,2021-22
13,2021-12-03T00:00:00,7,0022100339,1610612762,UTA,Utah,15-7,38,21,41,37,0,0,0,0,0,0,0,0,0,0,137,0.556,0.87,0.529,26,44,19,2021-12-03,2021-22
14,2021-12-03T00:00:00,8,0022100340,1610612756,PHX,Phoenix,19-4,21,27,20,28,0,0,0,0,0,0,0,0,0,0,96,0.383,0.743,0.364,23,38,14,2021-12-03,2021-22
15,2021-12-03T00:00:00,8,0022100340,1610612744,GSW,Golden State,19-3,28,23,29,38,0,0,0,0,0,0,0,0,0,0,118,0.489,0.75,0.487,30,51,17,2021-12-03,2021-22
16,2021-12-03T00:00:00,9,0022100341,1610612746,LAC,LA,12-11,23,30,34,32,0,0,0,0,0,0,0,0,0,0,119,0.506,0.875,0.457,28,34,9,2021-12-03,2021-22
17,2021-12-03T00:00:00,9,0022100341,1610612747,LAL,Los Angeles,12-12,22,28,29,36,0,0,0,0,0,0,0,0,0,0,115,0.5,0.619,0.364,28,43,11,2021-12-03,2021-22
