,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,date,season
0,2009-11-26T00:00:00,1,0020900220,1610612753,ORL,Orlando,12-4,23,16,28,26,0,0,0,0,,,,,,,93,0.438,0.65,0.323,15,53,12,2009-11-26,2009-10
1,2009-11-26T00:00:00,1,0020900220,1610612737,ATL,Atlanta,11-4,25,26,14,11,0,0,0,0,,,,,,,76,0.388,0.429,0.368,18,41,13,2009-11-26,2009-10
2,2009-11-26T00:00:00,2,0020900221,1610612741,CHI,Chicago,6-8,22,18,25,21,0,0,0,0,,,,,,,86,0.42,0.789,0.375,14,39,13,2009-11-26,2009-10
3,2009-11-26T00:00:00,2,0020900221,1610612762,UTA,Utah,8-7,28,29,24,24,0,0,0,0,,,,,,,105,0.608,0.565,0.4,29,36,14,2009-11-26,2009-10
