,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,date,season
0,2014-02-18T00:00:00,1,0021300792,1610612737,ATL,Atlanta,25-27,23,26,26,23,0,0,0,0,0,0,0,0,0,0,98,0.481,0.632,0.462,26,44,22,2014-02-18,2013-14
1,2014-02-18T00:00:00,1,0021300792,1610612754,IND,Indiana,41-12,35,22,30,21,0,0,0,0,0,0,0,0,0,0,108,0.494,0.808,0.391,23,36,13,2014-02-18,2013-14
2,2014-02-18T00:00:00,2,0021300793,1610612739,CLE,Cleveland,21-33,31,33,21,29,0,0,0,0,0,0,0,0,0,0,114,0.46,0.848,0.333,28,61,20,2014-02-18,2013-14
3,2014-02-18T00:00:00,2,0021300793,1610612755,PHI,Philadelphia,15-40,25,18,19,23,0,0,0,0,0,0,0,0,0,0,85,0.356,0.667,0.227,17,44,17,2014-02-18,2013-14
4,2014-02-18T00:00:00,3,0021300794,1610612761,TOR,Toronto,29-24,27,28,29,19,0,0,0,0,0,0,0,0,0,0,103,0.568,0.8,0.438,25,29,15,2014-02-18,2013-14
5,2014-02-18T00:00:00,3,0021300794,1610612764,WAS,Washington,25-28,27,22,21,23,0,0,0,0,0,0,0,0,0,0,93,0.469,0.619,0.267,21,40,16,2014-02-18,2013-14
6,2014-02-18T00:00:00,4,0021300795,1610612766,CHA,Charlotte,24-30,32,22,25,29,0,0,0,0,0,0,0,0,0,0,108,0.52,0.622,0.412,25,43,7,2014-02-18,2013-14
7,2014-02-18T00:00:00,4,0021300795,1610612765,DET,Detroit,22-31,21,22,24,29,0,0,0,0,0,0,0,0,0,0,96,0.398,0.565,0.313,20,52,7,2014-02-18,2013-14
8,2014-02-18T00:00:00,5,0021300796,1610612752,NYK,New York,20-33,17,20,27,29,0,0,0,0,0,0,0,0,0,0,93,0.412,0.85,0.222,15,39,12,2014-02-18,2013-14
9,2014-02-18T00:00:00,5,0021300796,1610612763,MEM,Memphis,30-23,22,28,16,32,0,0,0,0,0,0,0,0,0,0,98,0.493,0.75,0.5,20,38,13,2014-02-18,2013-14
10,2014-02-18T00:00:00,6,0021300797,1610612753,ORL,Orlando,16-39,22,25,32,21,0,0,0,0,0,0,0,0,0,0,100,0.5,0.563,0.44,26,37,14,2014-02-18,2013-14
11,2014-02-18T00:00:00,6,0021300797,1610612749,MIL,Milwaukee,10-43,25,28,28,23,0,0,0,0,0,0,0,0,0,0,104,0.427,0.733,0.462,25,43,10,2014-02-18,2013-14
12,2014-02-18T00:00:00,7,0021300798,1610612748,MIA,Miami,38-14,30,30,24,33,0,0,0,0,0,0,0,0,0,0,117,0.571,0.792,0.385,29,28,12,2014-02-18,2013-14
13,2014-02-18T00:00:00,7,0021300798,1610612742,DAL,Dallas,32-23,28,26,31,21,0,0,0,0,0,0,0,0,0,0,106,0.4,0.906,0.333,20,50,16,2014-02-18,2013-14
14,2014-02-18T00:00:00,8,0021300799,1610612756,PHX,Phoenix,31-21,31,21,24,23,13,0,0,0,0,0,0,0,0,0,112,0.376,0.795,0.379,21,56,15,2014-02-18,2013-14
15,2014-02-18T00:00:00,8,0021300799,1610612743,DEN,Denver,24-28,25,26,26,22,8,0,0,0,0,0,0,0,0,0,107,0.384,0.703,0.179,17,56,12,2014-02-18,2013-14
16,2014-02-18T00:00:00,9,0021300800,1610612759,SAS,San Antonio,39-15,24,32,26,31,0,0,0,0,0,0,0,0,0,0,113,0.5,0.762,0.45,26,48,17,2014-02-18,2013-14
17,2014-02-18T00:00:00,9,0021300800,1610612746,LAC,Los Angeles,37-19,26,25,25,27,0,0,0,0,0,0,0,0,0,0,103,0.432,0.711,0.286,19,38,12,2014-02-18,2013-14
