,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,date,season
0,2014-04-15T00:00:00,1,0021301214,1610612752,NYK,New York,36-45,29,26,28,26,0,0,0,0,0,0,0,0,0,0,109,0.478,0.85,0.524,15,36,16,2014-04-15,2013-14
1,2014-04-15T00:00:00,1,0021301214,1610612751,BKN,Brooklyn,44-37,18,25,24,31,0,0,0,0,0,0,0,0,0,0,98,0.44,0.71,0.4,25,38,19,2014-04-15,2013-14
2,2014-04-15T00:00:00,2,0021301215,1610612743,DEN,Denver,36-45,26,20,34,25,0,0,0,0,0,0,0,0,0,0,105,0.427,0.9,0.276,20,43,19,2014-04-15,2013-14
3,2014-04-15T00:00:00,2,0021301215,1610612746,LAC,Los Angeles,57-24,38,25,25,29,0,0,0,0,0,0,0,0,0,0,117,0.53,0.667,0.375,29,41,15,2014-04-15,2013-14
