,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,date,season
0,2015-03-19T00:00:00,1,0021401016,1610612750,MIN,Minnesota,15-53,29,25,15,16,10,0,0,0,0,0,0,0,0,0,95,0.41,0.833,0.167,12,43,16,2015-03-19,2014-15
1,2015-03-19T00:00:00,1,0021401016,1610612752,NYK,New York,14-54,26,20,23,16,7,0,0,0,0,0,0,0,0,0,92,0.412,0.8,0.2,22,49,15,2015-03-19,2014-15
2,2015-03-19T00:00:00,2,0021401017,1610612743,DEN,Denver,26-43,27,22,24,35,0,0,0,0,0,0,0,0,0,0,108,0.452,0.579,0.361,23,42,15,2015-03-19,2014-15
3,2015-03-19T00:00:00,2,0021401017,1610612745,HOU,Houston,46-22,33,32,25,28,0,0,0,0,0,0,0,0,0,0,118,0.446,0.8,0.4,27,49,16,2015-03-19,2014-15
4,2015-03-19T00:00:00,3,0021401018,1610612740,NOP,New Orleans,37-31,15,19,19,19,0,0,0,0,0,0,0,0,0,0,72,0.373,0.5,0.278,19,45,9,2015-03-19,2014-15
5,2015-03-19T00:00:00,3,0021401018,1610612756,PHX,Phoenix,36-33,21,22,12,19,0,0,0,0,0,0,0,0,0,0,74,0.349,0.667,0.091,11,57,12,2015-03-19,2014-15
6,2015-03-19T00:00:00,4,0021401019,1610612762,UTA,Utah,31-37,18,15,25,22,0,0,0,0,0,0,0,0,0,0,80,0.403,0.677,0.36,19,36,14,2015-03-19,2014-15
7,2015-03-19T00:00:00,4,0021401019,1610612747,LAL,Los Angeles,17-50,16,20,19,18,0,0,0,0,0,0,0,0,0,0,73,0.403,0.471,0.273,20,43,14,2015-03-19,2014-15
