,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,date,season
0,2007-11-30T00:00:00,1,0020700224,1610612739,CLE,Cleveland,9-8,28,21,16,17,0,0,0,0,,,,,,,82,0.39,0.824,0.381,13,39,13,2007-11-30,2007-08
1,2007-11-30T00:00:00,1,0020700224,1610612761,TOR,Toronto,9-7,27,27,22,15,0,0,0,0,,,,,,,91,0.479,0.867,0.533,24,44,13,2007-11-30,2007-08
2,2007-11-30T00:00:00,2,0020700225,1610612764,WAS,Washington,7-9,20,23,25,16,0,0,0,0,,,,,,,84,0.418,0.857,0.286,25,40,18,2007-11-30,2007-08
3,2007-11-30T00:00:00,2,0020700225,1610612755,PHI,Philadelphia,5-10,25,17,26,17,0,0,0,0,,,,,,,85,0.388,0.731,0.0,24,42,8,2007-11-30,2007-08
4,2007-11-30T00:00:00,3,0020700226,1610612749,MIL,Milwaukee,7-7,29,26,22,11,0,0,0,0,,,,,,,88,0.462,0.786,0.313,12,37,12,2007-11-30,2007-08
5,2007-11-30T00:00:00,3,0020700226,1610612752,NYK,New York,5-10,19,25,21,26,0,0,0,0,,,,,,,91,0.474,0.565,0.375,14,37,12,2007-11-30,2007-08
6,2007-11-30T00:00:00,4,0020700227,1610612740,NOH,New Orleans,11-6,28,15,25,24,0,0,0,0,,,,,,,92,0.407,0.773,0.25,15,49,12,2007-11-30,2007-08
7,2007-11-30T00:00:00,4,0020700227,1610612737,ATL,Atlanta,6-9,22,23,18,23,0,0,0,0,,,,,,,86,0.456,0.72,0.4,22,41,19,2007-11-30,2007-08
8,2007-11-30T00:00:00,5,0020700228,1610612738,BOS,Boston,13-2,31,28,24,12,0,0,0,0,,,,,,,95,0.397,0.794,0.455,17,40,17,2007-11-30,2007-08
9,2007-11-30T00:00:00,5,0020700228,1610612748,MIA,Miami,4-11,25,16,20,24,0,0,0,0,,,,,,,85,0.457,0.647,0.4,15,39,24,2007-11-30,2007-08
10,2007-11-30T00:00:00,6,0020700229,1610612759,SAS,San Antonio,14-3,22,26,26,32,0,0,0,0,,,,,,,106,0.526,0.737,0.5,26,37,13,2007-11-30,2007-08
11,2007-11-30T00:00:00,6,0020700229,1610612750,MIN,Minnesota,2-12,24,24,32,11,0,0,0,0,,,,,,,91,0.457,0.733,0.429,14,37,14,2007-11-30,2007-08
12,2007-11-30T00:00:00,7,0020700230,1610612757,POR,Portland,5-11,19,17,23,21,0,0,0,0,,,,,,,80,0.432,0.632,0.286,15,38,13,2007-11-30,2007-08
13,2007-11-30T00:00:00,7,0020700230,1610612742,DAL,Dallas,11-5,18,26,32,15,0,0,0,0,,,,,,,91,0.451,0.929,0.444,23,43,11,2007-11-30,2007-08
14,2007-11-30T00:00:00,8,0020700232,1610612753,ORL,Orlando,14-4,16,34,28,28,0,0,0,0,,,,,,,106,0.46,0.64,0.294,21,43,17,2007-11-30,2007-08
15,2007-11-30T00:00:00,8,0020700232,1610612756,PHX,Phoenix,12-4,31,29,28,22,0,0,0,0,,,,,,,110,0.494,0.68,0.412,29,48,13,2007-11-30,2007-08
16,2007-11-30T00:00:00,9,0020700231,1610612747,LAL,Los Angeles,9-7,22,29,31,14,0,0,0,0,,,,,,,96,0.442,0.833,0.333,21,34,20,2007-11-30,2007-08
17,2007-11-30T00:00:00,9,0020700231,1610612762,UTA,Utah,12-5,30,40,32,18,0,0,0,0,,,,,,,120,0.511,0.75,0.4,26,48,13,2007-11-30,2007-08
18,2007-11-30T00:00:00,10,0020700233,1610612746,LAC,Los Angeles,6-8,24,26,22,35,0,0,0,0,,,,,,,107,0.468,0.897,0.5,21,38,20,2007-11-30,2007-08
19,2007-11-30T00:00:00,10,0020700233,1610612743,DEN,Denver,10-7,30,33,27,33,0,0,0,0,,,,,,,123,0.541,0.656,0.5,31,39,19,2007-11-30,2007-08
20,2007-11-30T00:00:00,11,0020700234,1610612754,IND,Indiana,8-9,24,24,17,28,0,0,0,0,,,,,,,93,0.359,0.75,0.24,21,48,14,2007-11-30,2007-08
21,2007-11-30T00:00:00,11,0020700234,1610612760,SEA,Seattle,3-14,22,27,21,25,0,0,0,0,,,,,,,95,0.427,0.731,0.462,23,55,20,2007-11-30,2007-08
