,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,date,season
0,2013-04-15T00:00:00,1,0021201202,1610612752,NYK,New York,53-28,17,28,22,28,0,0,0,0,0,0,0,0,0,0,95,0.43,1.0,0.378,27,25,8,2013-04-15,2012-13
1,2013-04-15T00:00:00,1,0021201202,1610612766,CHA,Charlotte,20-61,30,24,30,22,0,0,0,0,0,0,0,0,0,0,106,0.581,0.929,0.389,35,37,11,2013-04-15,2012-13
2,2013-04-15T00:00:00,2,0021201203,1610612741,CHI,Chicago,44-37,21,28,28,25,0,0,0,0,0,0,0,0,0,0,102,0.56,0.692,0.529,33,35,14,2013-04-15,2012-13
3,2013-04-15T00:00:00,2,0021201203,1610612753,ORL,Orlando,20-61,23,14,18,29,0,0,0,0,0,0,0,0,0,0,84,0.419,0.606,0.2,16,39,14,2013-04-15,2012-13
4,2013-04-15T00:00:00,3,0021201204,1610612748,MIA,Miami,65-16,18,31,31,16,0,0,0,0,0,0,0,0,0,0,96,0.5,0.63,0.464,25,45,17,2013-04-15,2012-13
5,2013-04-15T00:00:00,3,0021201204,1610612739,CLE,Cleveland,24-57,22,30,19,24,0,0,0,0,0,0,0,0,0,0,95,0.453,0.632,0.385,20,38,5,2013-04-15,2012-13
6,2013-04-15T00:00:00,4,0021201205,1610612764,WAS,Washington,29-52,34,22,21,24,0,0,0,0,0,0,0,0,0,0,101,0.532,0.75,0.364,24,44,19,2013-04-15,2012-13
7,2013-04-15T00:00:00,4,0021201205,1610612751,BKN,Brooklyn,48-33,21,29,23,33,0,0,0,0,0,0,0,0,0,0,106,0.467,0.481,0.467,12,45,14,2013-04-15,2012-13
8,2013-04-15T00:00:00,5,0021201206,1610612755,PHI,Philadelphia,33-48,23,31,21,26,0,0,0,0,0,0,0,0,0,0,101,0.448,0.81,0.273,25,39,12,2013-04-15,2012-13
9,2013-04-15T00:00:00,5,0021201206,1610612765,DET,Detroit,29-52,30,21,33,25,0,0,0,0,0,0,0,0,0,0,109,0.494,0.818,0.36,23,43,14,2013-04-15,2012-13
10,2013-04-15T00:00:00,6,0021201207,1610612743,DEN,Denver,56-25,32,24,25,31,0,0,0,0,0,0,0,0,0,0,112,0.435,0.696,0.429,21,58,17,2013-04-15,2012-13
11,2013-04-15T00:00:00,6,0021201207,1610612749,MIL,Milwaukee,37-44,26,27,24,34,0,0,0,0,0,0,0,0,0,0,111,0.42,0.652,0.343,25,44,11,2013-04-15,2012-13
12,2013-04-15T00:00:00,7,0021201208,1610612763,MEM,Memphis,55-26,21,17,30,35,0,0,0,0,0,0,0,0,0,0,103,0.475,0.8,0.333,24,50,16,2013-04-15,2012-13
13,2013-04-15T00:00:00,7,0021201208,1610612742,DAL,Dallas,40-41,29,17,21,30,0,0,0,0,0,0,0,0,0,0,97,0.447,0.8,0.474,18,36,15,2013-04-15,2012-13
14,2013-04-15T00:00:00,8,0021201209,1610612758,SAC,Sacramento,28-53,19,24,24,28,0,0,0,0,0,0,0,0,0,0,95,0.437,0.571,0.259,19,45,15,2013-04-15,2012-13
15,2013-04-15T00:00:00,8,0021201209,1610612760,OKC,Oklahoma City,60-21,25,29,29,21,0,0,0,0,0,0,0,0,0,0,104,0.457,0.75,0.217,23,49,10,2013-04-15,2012-13
16,2013-04-15T00:00:00,9,0021201210,1610612762,UTA,Utah,43-38,26,23,22,25,0,0,0,0,0,0,0,0,0,0,96,0.468,0.913,0.3,21,41,10,2013-04-15,2012-13
17,2013-04-15T00:00:00,9,0021201210,1610612750,MIN,Minnesota,30-51,18,23,19,20,0,0,0,0,0,0,0,0,0,0,80,0.427,0.778,0.118,21,38,12,2013-04-15,2012-13
18,2013-04-15T00:00:00,10,0021201211,1610612745,HOU,Houston,45-36,28,33,22,29,0,0,0,0,0,0,0,0,0,0,112,0.467,0.652,0.379,21,43,16,2013-04-15,2012-13
19,2013-04-15T00:00:00,10,0021201211,1610612756,PHX,Phoenix,25-56,39,28,23,29,0,0,0,0,0,0,0,0,0,0,119,0.495,0.783,0.304,29,44,11,2013-04-15,2012-13
20,2013-04-15T00:00:00,11,0021201212,1610612759,SAS,San Antonio,58-23,28,29,22,27,0,0,0,0,0,0,0,0,0,0,106,0.459,0.615,0.333,30,39,15,2013-04-15,2012-13
21,2013-04-15T00:00:00,11,0021201212,1610612744,GSW,Golden State,46-35,27,27,28,34,0,0,0,0,0,0,0,0,0,0,116,0.541,0.833,0.45,26,53,21,2013-04-15,2012-13
