,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,date,season
0,2015-01-26T00:00:00,1,0021400670,1610612753,ORL,Orlando,15-33,29,19,25,21,0,0,0,0,0,0,0,0,0,0,94,0.474,0.64,0.333,14,44,17,2015-01-26,2014-15
1,2015-01-26T00:00:00,1,0021400670,1610612763,MEM,Memphis,32-12,34,33,22,14,0,0,0,0,0,0,0,0,0,0,103,0.474,0.923,0.389,25,39,15,2015-01-26,2014-15
2,2015-01-26T00:00:00,2,0021400671,1610612755,PHI,Philadelphia,8-37,19,24,19,12,0,0,0,0,0,0,0,0,0,0,74,0.346,0.762,0.133,15,38,12,2015-01-26,2014-15
3,2015-01-26T00:00:00,2,0021400671,1610612740,NOP,New Orleans,24-21,30,22,33,14,0,0,0,0,0,0,0,0,0,0,99,0.453,0.737,0.438,28,52,11,2015-01-26,2014-15
4,2015-01-26T00:00:00,3,0021400672,1610612750,MIN,Minnesota,7-37,19,21,16,28,0,0,0,0,0,0,0,0,0,0,84,0.341,0.75,0.154,13,50,13,2015-01-26,2014-15
5,2015-01-26T00:00:00,3,0021400672,1610612760,OKC,Oklahoma City,23-22,25,23,17,27,0,0,0,0,0,0,0,0,0,0,92,0.419,0.667,0.2,17,52,15,2015-01-26,2014-15
6,2015-01-26T00:00:00,4,0021400673,1610612738,BOS,Boston,16-27,17,38,16,28,0,0,0,0,0,0,0,0,0,0,99,0.473,0.913,0.421,18,37,14,2015-01-26,2014-15
7,2015-01-26T00:00:00,4,0021400673,1610612762,UTA,Utah,16-29,17,14,35,24,0,0,0,0,0,0,0,0,0,0,90,0.427,0.579,0.375,18,39,14,2015-01-26,2014-15
8,2015-01-26T00:00:00,5,0021400674,1610612743,DEN,Denver,18-27,31,16,30,21,0,0,0,0,0,0,0,0,0,0,98,0.482,0.667,0.381,26,38,10,2015-01-26,2014-15
9,2015-01-26T00:00:00,5,0021400674,1610612746,LAC,Los Angeles,31-14,20,30,19,33,0,0,0,0,0,0,0,0,0,0,102,0.475,0.864,0.368,25,45,13,2015-01-26,2014-15
