,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,date,season
0,2012-02-18T00:00:00,1,0021100456,1610612759,SAS,San Antonio,22-9,15,30,25,25,8,0,0,0,,,,,,,103,0.435,0.524,0.429,23,42,9,2012-02-18,2011-12
1,2012-02-18T00:00:00,1,0021100456,1610612746,LAC,Los Angeles,19-10,26,17,24,28,5,0,0,0,,,,,,,100,0.404,0.87,0.308,22,53,14,2012-02-18,2011-12
2,2012-02-18T00:00:00,2,0021100457,1610612751,NJN,New Jersey,9-23,34,25,14,24,0,0,0,0,,,,,,,97,0.4,0.76,0.455,19,50,9,2012-02-18,2011-12
3,2012-02-18T00:00:00,2,0021100457,1610612741,CHI,Chicago,25-8,19,26,11,29,0,0,0,0,,,,,,,85,0.393,0.593,0.231,17,50,12,2012-02-18,2011-12
4,2012-02-18T00:00:00,3,0021100458,1610612744,GSW,Golden State,11-17,19,37,22,25,0,0,0,0,,,,,,,103,0.427,0.778,0.462,18,31,13,2012-02-18,2011-12
5,2012-02-18T00:00:00,3,0021100458,1610612763,MEM,Memphis,18-14,34,20,22,28,0,0,0,0,,,,,,,104,0.507,0.684,0.4,16,45,19,2012-02-18,2011-12
6,2012-02-18T00:00:00,4,0021100459,1610612737,ATL,Atlanta,19-12,25,12,19,21,0,0,0,0,,,,,,,77,0.411,0.769,0.259,24,27,9,2012-02-18,2011-12
7,2012-02-18T00:00:00,4,0021100459,1610612757,POR,Portland,17-15,33,19,20,25,0,0,0,0,,,,,,,97,0.469,0.75,0.409,23,50,13,2012-02-18,2011-12
