,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Home-Team-Win,date
0,Oklahoma City Thunder,26,15,11,0.577,48.8,39.7,87.7,0.453,8.4,25.7,0.328,17.8,24.8,0.717,11.0,34.8,45.8,21.7,15.7,7.8,5.0,5.4,20.3,20.4,105.6,0.7,14,9,9,9,4,6,4,13,21,15,28,19,10,27,9,7,5,18,23,16,14,21,15,13,10,13,2016-17,Phoenix Suns,26,8,18,0.308,49.0,39.2,89.1,0.44,8.2,24.7,0.334,19.8,25.9,0.765,11.5,34.2,45.8,18.3,16.0,8.7,4.3,5.5,25.7,22.2,106.5,-6.5,14,26,23,26,3,9,2,20,24,21,23,6,5,18,7,13,6,30,24,5,25,24,30,2,9,27,1,2016-12-17
1,Detroit Pistons,28,14,14,0.5,48.0,39.1,86.3,0.454,7.3,21.2,0.346,13.6,18.1,0.752,9.8,34.8,44.5,20.8,11.8,6.9,3.8,4.4,17.6,16.8,99.3,2.6,2,10,16,14,22,10,13,12,29,29,17,30,29,23,19,6,12,21,1,26,27,8,4,30,25,8,2016-17,Indiana Pacers,27,13,14,0.481,48.7,39.0,86.2,0.453,8.3,22.9,0.361,17.9,22.1,0.806,8.7,33.5,42.2,22.1,14.5,8.9,5.9,5.6,19.9,19.9,104.2,-2.3,7,14,16,17,6,12,15,14,23,26,9,18,21,3,27,18,25,14,20,4,3,25,11,16,14,19,0,2016-12-17
2,Atlanta Hawks,26,13,13,0.5,48.0,38.8,84.6,0.459,8.6,26.0,0.33,16.3,22.9,0.713,10.5,33.5,44.0,24.2,16.8,8.9,5.4,5.0,17.6,20.9,102.5,-1.6,14,14,13,14,22,14,21,10,18,13,24,23,19,28,13,19,18,5,28,3,9,13,3,9,21,16,2016-17,Charlotte Hornets,27,14,13,0.519,48.6,37.1,85.5,0.434,9.7,27.8,0.35,19.8,26.2,0.755,9.0,36.9,45.8,23.3,12.0,6.5,5.0,5.4,17.0,21.0,103.7,1.5,7,10,13,13,10,25,17,25,11,9,16,7,3,22,25,1,4,7,3,29,15,22,1,8,17,10,0,2016-12-17
3,Cleveland Cavaliers,24,18,6,0.75,48.0,38.8,84.1,0.462,13.3,33.3,0.399,19.0,25.1,0.758,9.8,34.3,44.2,22.1,13.9,7.0,4.4,4.7,18.1,22.2,110.0,7.6,30,5,3,3,22,13,25,8,2,2,2,10,8,21,17,10,16,12,14,23,23,10,6,3,5,4,2016-17,Los Angeles Lakers,29,11,18,0.379,48.0,38.6,86.9,0.445,8.5,25.0,0.34,18.5,24.0,0.773,11.9,32.5,44.4,20.3,16.3,8.6,3.5,5.3,20.9,19.4,104.3,-6.0,1,20,23,23,22,16,9,17,19,19,20,14,15,14,6,25,13,26,26,8,30,18,20,23,13,26,1,2016-12-17
4,Minnesota Timberwolves,25,7,18,0.28,48.2,38.0,84.2,0.452,8.0,23.3,0.345,19.6,25.3,0.774,12.0,30.6,42.6,21.7,14.6,7.3,4.6,5.1,21.2,20.9,103.7,-3.0,26,27,23,27,18,20,24,15,27,25,18,8,7,13,4,29,21,20,21,21,20,15,23,11,19,23,2016-17,Houston Rockets,27,20,7,0.741,48.4,40.7,86.5,0.47,14.8,38.5,0.385,17.0,23.0,0.74,11.4,33.7,45.1,25.5,16.0,7.9,4.7,5.0,19.9,19.2,113.1,7.5,7,3,4,4,15,2,10,4,1,1,4,20,17,25,8,17,7,2,25,13,18,12,11,25,2,5,0,2016-12-17
5,Denver Nuggets,26,10,16,0.385,48.6,38.7,88.0,0.439,9.3,26.0,0.356,20.0,26.7,0.752,13.1,35.6,48.7,21.7,16.5,6.6,4.4,5.7,21.0,22.1,106.6,-2.7,14,22,20,21,8,15,3,21,13,12,11,4,2,24,2,3,1,19,27,27,22,27,22,4,8,20,2016-17,New York Knicks,26,14,12,0.538,48.4,39.7,89.4,0.444,9.0,25.4,0.354,16.1,20.8,0.771,12.1,33.8,46.0,22.0,13.9,7.4,5.8,4.8,21.2,18.9,104.5,-2.7,14,10,10,10,13,6,1,18,14,17,13,25,26,15,3,15,3,15,15,20,4,11,24,28,12,21,1,2016-12-17
6,Golden State Warriors,27,23,4,0.852,48.4,43.2,87.5,0.494,11.9,31.7,0.377,18.9,24.1,0.785,9.6,35.3,44.8,31.4,14.8,9.3,6.6,3.6,20.1,20.7,117.3,11.7,7,1,1,1,15,1,5,1,3,4,6,13,13,8,22,4,9,1,22,1,1,2,14,12,1,1,2016-17,Portland Trail Blazers,28,13,15,0.464,48.5,40.0,87.4,0.458,10.9,29.6,0.368,19.2,24.0,0.799,9.9,32.7,42.6,22.3,13.6,7.0,4.9,5.4,22.8,19.8,110.1,-2.0,2,14,19,18,11,5,6,11,6,8,7,9,14,4,16,24,22,11,12,24,16,20,28,18,4,18,1,2016-12-17
