,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Home-Team-Win,date
0,Detroit Pistons,45,32,13,0.711,48.1,36.6,79.5,0.46,5.8,16.0,0.365,18.9,24.9,0.761,11.5,29.2,40.8,22.5,11.6,7.3,5.1,3.7,20.4,20.3,97.9,7.4,10,3,2,3,27,12,19,8,19,23,10,13,17,13,16,25,22,9,1,19,10,1,10,21,15,2,2007-08,Los Angeles Lakers,43,28,15,0.651,48.1,39.0,82.1,0.475,7.2,19.6,0.367,22.1,29.5,0.751,11.0,33.9,45.0,23.5,15.5,8.3,5.2,4.7,21.6,23.3,107.3,5.5,27,7,6,6,24,4,10,3,10,9,9,2,3,17,18,1,2,3,24,5,9,14,16,5,3,5,1,2008-01-31
1,Boston Celtics,43,35,8,0.814,48.2,35.5,75.3,0.472,7.3,19.3,0.377,21.0,27.4,0.767,9.8,31.7,41.5,21.9,15.1,9.0,4.4,4.5,21.7,22.9,99.3,11.1,27,1,1,1,18,24,30,4,9,11,4,8,7,11,26,8,19,10,16,3,23,12,18,7,12,1,2007-08,Dallas Mavericks,44,31,13,0.705,48.1,36.9,78.2,0.472,6.0,16.7,0.358,21.4,26.0,0.822,10.4,31.8,42.2,20.3,13.0,6.1,5.3,4.0,22.0,21.7,101.1,5.1,22,5,2,5,25,11,27,5,18,20,14,6,11,1,21,7,15,21,5,28,7,5,22,13,8,7,1,2008-01-31
2,Seattle SuperSonics,45,10,35,0.222,48.3,37.3,85.6,0.436,4.3,12.9,0.33,17.7,23.0,0.768,11.7,33.4,45.1,21.1,15.9,6.6,5.3,5.5,20.9,20.0,96.6,-8.0,10,28,28,28,12,10,3,28,26,26,27,22,23,10,14,2,1,19,27,23,8,25,12,24,17,29,2007-08,Cleveland Cavaliers,44,25,19,0.568,48.8,36.2,82.7,0.437,6.4,18.3,0.352,18.2,25.3,0.721,13.2,31.5,44.7,19.4,14.6,7.8,4.5,4.8,22.1,20.1,97.0,-0.8,22,13,11,13,1,17,9,27,14,13,17,17,16,25,3,11,4,27,11,9,19,16,23,23,16,16,1,2008-01-31
3,Phoenix Suns,46,33,13,0.717,48.1,41.7,84.3,0.494,9.1,23.5,0.385,17.5,22.2,0.788,8.4,32.2,40.6,27.6,13.6,7.4,7.2,3.7,19.3,19.9,109.8,6.2,4,2,2,2,28,1,6,1,2,4,3,24,27,5,30,6,23,1,8,16,2,2,3,25,1,4,2007-08,San Antonio Spurs,44,28,16,0.636,48.1,35.9,78.6,0.457,7.7,20.5,0.375,16.8,22.3,0.753,10.0,31.0,41.0,21.5,12.6,6.6,3.9,4.7,18.2,19.9,96.3,4.5,22,7,7,7,25,21,23,12,6,6,6,25,26,15,23,14,21,14,4,24,28,13,1,27,18,8,0,2008-01-31
