,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Home-Team-Win,date
0,Cleveland Cavaliers,9,8,1,0.889,48.0,38.6,88.4,0.436,13.2,35.7,0.371,19.1,24.8,0.771,11.2,34.0,45.2,22.1,11.9,8.0,4.7,4.8,19.2,22.4,109.4,7.4,22,2,1,2,14,15,3,22,2,2,6,13,12,15,9,14,8,11,3,15,21,11,8,7,3,4,2016-17,Toronto Raptors,9,7,2,0.778,48.0,39.1,85.0,0.46,6.4,22.2,0.29,20.7,25.3,0.816,11.0,32.7,43.7,18.1,11.3,9.0,4.6,4.2,22.3,20.1,105.3,6.1,22,5,3,4,14,7,19,8,28,24,29,6,6,4,11,24,17,30,2,6,23,7,22,20,13,5,1,2016-11-15
1,Miami Heat,9,2,7,0.222,48.6,36.6,86.0,0.425,8.1,22.8,0.356,13.7,20.3,0.672,10.1,33.8,43.9,20.6,13.4,7.7,6.1,5.0,20.8,18.2,94.9,-3.1,22,26,22,26,9,23,14,27,19,22,11,30,26,30,17,15,16,20,11,19,3,16,16,29,28,19,2016-17,Atlanta Hawks,9,7,2,0.778,48.0,40.9,84.9,0.482,9.4,26.0,0.363,18.3,26.9,0.682,12.1,34.6,46.7,26.8,17.8,10.3,5.2,4.7,18.2,23.2,109.6,10.7,22,5,3,4,14,3,21,2,11,11,8,15,5,29,4,9,4,2,28,2,8,10,5,4,2,2,0,2016-11-15
2,Minnesota Timberwolves,9,3,6,0.333,48.0,38.9,83.8,0.464,9.3,22.3,0.418,20.8,28.2,0.736,12.4,30.2,42.7,22.3,14.0,8.6,4.7,5.6,22.8,22.7,107.9,2.8,22,23,18,23,14,13,26,5,12,23,1,4,3,24,2,30,21,10,14,11,21,22,26,5,9,11,2016-17,Charlotte Hornets,9,6,3,0.667,48.0,37.2,86.6,0.43,10.4,29.9,0.349,19.6,25.3,0.772,9.1,36.8,45.9,24.1,10.7,7.3,5.0,4.9,18.1,22.0,104.4,5.6,22,9,6,7,14,21,10,24,7,7,15,9,6,14,24,1,6,5,1,23,13,15,4,9,15,6,0,2016-11-15
3,Portland Trail Blazers,11,7,4,0.636,49.4,39.1,86.4,0.453,10.9,29.8,0.366,19.6,24.6,0.797,7.8,33.4,41.2,21.7,14.5,7.3,4.9,4.5,24.0,21.2,108.7,-2.4,2,5,8,8,1,10,12,12,5,8,7,8,13,9,30,18,29,13,16,24,15,9,28,11,5,18,2016-17,Chicago Bulls,10,6,4,0.6,48.0,39.1,87.7,0.446,7.5,21.1,0.355,20.5,24.9,0.823,13.7,34.1,47.8,22.7,13.9,7.6,4.7,5.6,16.9,20.7,106.2,5.4,13,9,8,9,14,9,5,16,24,27,13,7,10,2,1,13,2,8,13,21,20,23,1,16,12,7,0,2016-11-15
4,Los Angeles Lakers,11,6,5,0.545,48.0,40.6,85.5,0.475,9.5,27.3,0.347,17.9,21.9,0.817,10.3,33.2,43.5,21.2,17.3,8.6,4.3,4.0,22.5,18.6,108.6,1.1,2,9,12,13,14,4,17,3,9,10,16,17,22,3,15,20,18,15,25,8,27,4,25,26,6,14,2016-17,Brooklyn Nets,10,4,6,0.4,48.0,37.6,84.3,0.446,11.2,34.1,0.328,18.8,23.2,0.81,9.3,35.9,45.2,20.5,17.8,8.6,4.4,5.5,20.3,20.7,105.2,-4.3,13,19,18,19,14,20,24,15,4,3,22,14,17,5,23,5,10,21,29,9,26,21,12,16,14,23,1,2016-11-15
