,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Home-Team-Win,date
0,Detroit Pistons,16,5,11,0.313,48.3,34.6,78.1,0.442,4.8,14.8,0.326,18.5,25.6,0.722,12.1,28.6,40.7,15.8,13.7,6.3,4.6,5.4,24.2,22.4,92.4,-3.0,7,24,26,26,9,27,25,21,24,25,21,15,10,28,10,29,22,29,5,23,23,19,28,9,26,19,2009-10,Atlanta Hawks,16,12,4,0.75,48.3,39.4,84.6,0.466,6.1,17.9,0.343,18.3,23.6,0.777,12.3,31.1,43.4,20.6,12.7,6.9,6.4,4.8,20.5,21.3,103.3,5.6,7,3,3,4,9,4,8,11,18,16,17,16,20,8,8,11,6,17,1,20,2,12,8,22,8,8,1,2009-11-29
1,Toronto Raptors,17,7,10,0.412,48.0,38.0,80.5,0.472,7.9,19.6,0.401,21.7,27.9,0.777,10.8,30.1,40.8,20.7,13.6,5.2,5.3,4.3,24.4,21.9,105.6,-3.5,2,16,21,21,18,12,16,8,7,9,3,2,3,9,16,22,21,16,4,30,12,7,30,14,4,22,2009-10,Phoenix Suns,16,13,3,0.813,48.0,41.8,82.5,0.507,10.3,23.1,0.446,18.0,24.9,0.724,10.8,31.1,41.9,24.8,15.6,5.6,5.1,3.8,20.3,21.8,111.9,6.8,7,1,1,1,18,1,11,1,1,3,1,18,17,27,17,11,17,3,23,27,15,1,6,18,1,4,0,2009-11-29
2,Los Angeles Clippers,17,7,10,0.412,48.0,36.1,78.1,0.463,4.8,15.5,0.311,18.5,25.4,0.729,10.4,30.1,40.5,22.5,15.5,7.5,6.2,3.9,21.4,22.4,95.6,-3.1,2,16,21,21,18,20,26,12,23,24,25,14,13,25,20,21,24,7,22,13,3,2,13,8,24,20,2009-10,Memphis Grizzlies,16,6,10,0.375,48.3,39.3,82.1,0.478,3.0,10.3,0.291,20.7,27.9,0.74,13.7,30.7,44.4,19.4,16.8,7.0,4.6,5.2,21.8,23.4,102.2,-4.4,7,21,21,23,9,5,13,5,30,30,27,5,4,21,1,16,3,20,30,17,20,15,19,2,9,24,1,2009-11-29
3,Miami Heat,15,9,6,0.6,48.0,35.3,78.2,0.452,6.0,17.7,0.34,19.4,25.3,0.766,10.3,30.7,40.9,17.7,13.8,5.9,5.3,5.0,21.1,21.8,96.1,0.8,22,10,9,10,18,25,24,18,19,18,19,10,15,12,25,17,20,27,7,25,13,14,10,16,23,14,2009-10,Boston Celtics,16,12,4,0.75,48.3,38.3,78.0,0.49,6.7,19.2,0.349,17.2,22.8,0.753,9.0,29.1,38.1,24.9,14.6,9.2,4.7,4.3,21.1,22.4,100.4,8.7,7,3,3,4,9,11,27,3,11,10,14,24,23,15,29,27,30,2,15,2,19,8,9,9,13,1,0,2009-11-29
4,New York Knicks,16,3,13,0.188,49.3,37.7,86.9,0.434,9.1,29.0,0.315,17.4,22.0,0.79,10.4,29.9,40.3,21.5,15.2,8.2,4.4,4.9,22.8,20.8,101.9,-7.0,7,28,28,28,1,14,2,26,3,1,24,23,24,4,21,23,25,11,20,8,25,13,22,25,11,28,2009-10,Orlando Magic,17,13,4,0.765,48.0,35.5,78.3,0.453,9.9,26.8,0.369,18.2,26.6,0.684,10.4,32.1,42.4,19.4,13.8,5.9,4.6,3.9,20.2,23.3,99.0,5.8,2,1,3,3,18,24,23,17,2,2,9,17,6,30,23,5,13,21,8,26,22,2,4,4,17,7,0,2009-11-29
5,Oklahoma City Thunder,16,9,7,0.563,48.3,35.7,79.9,0.446,5.3,16.2,0.328,20.4,25.4,0.803,10.6,31.6,42.3,18.6,15.2,8.3,6.2,4.4,22.8,21.2,97.1,3.3,7,10,11,12,9,22,20,20,21,20,20,6,12,1,19,7,15,25,20,7,4,10,22,23,20,11,2009-10,Houston Rockets,16,8,8,0.5,48.3,38.9,86.8,0.448,7.8,22.8,0.343,16.6,21.6,0.771,13.3,29.1,42.3,22.4,14.9,8.1,4.0,7.4,21.9,21.3,102.2,0.3,7,13,15,15,9,7,3,19,8,4,15,26,28,10,2,27,14,8,16,9,27,30,20,20,9,15,0,2009-11-29
6,San Antonio Spurs,14,8,6,0.571,48.4,37.2,79.8,0.466,7.1,19.9,0.36,19.9,26.6,0.747,10.3,32.9,43.1,21.9,13.1,5.5,5.1,5.4,22.8,22.4,101.4,4.4,28,13,9,11,7,15,21,10,9,8,11,8,7,16,24,3,8,9,2,29,14,18,21,11,12,10,2009-10,Philadelphia 76ers,16,5,11,0.313,48.3,36.6,80.0,0.457,6.3,17.9,0.353,17.4,23.1,0.754,10.8,28.3,39.0,20.3,14.5,8.4,5.9,4.0,20.2,20.0,96.9,-4.9,7,24,26,26,9,17,19,15,17,16,13,22,21,14,17,30,28,18,12,5,6,4,5,26,21,26,1,2009-11-29
7,Denver Nuggets,16,12,4,0.75,48.0,38.7,80.3,0.482,5.9,15.9,0.374,26.4,32.9,0.803,9.9,30.8,40.7,23.0,14.3,8.6,5.1,6.2,22.9,25.1,109.8,7.3,7,3,3,4,18,8,17,4,20,22,8,1,1,2,27,15,22,5,10,4,15,28,24,1,2,2,2009-10,Minnesota Timberwolves,16,1,15,0.063,48.0,36.2,84.8,0.427,3.6,13.7,0.265,14.4,19.7,0.733,11.9,29.3,41.2,17.7,16.6,8.6,3.5,6.0,21.3,18.6,90.4,-14.7,7,29,29,29,18,19,7,29,28,26,29,30,30,23,11,25,19,28,29,3,30,25,11,30,28,30,0,2009-11-29
8,Sacramento Kings,15,7,8,0.467,48.3,38.6,82.6,0.467,6.8,18.1,0.376,20.1,26.9,0.747,12.5,31.3,43.8,19.3,16.5,7.6,4.9,6.0,23.1,21.8,104.1,-0.7,22,16,15,16,8,10,10,9,10,14,7,7,5,17,5,10,5,23,28,12,17,25,26,16,5,17,2009-10,New Orleans Hornets,16,7,9,0.438,48.6,37.1,84.9,0.437,8.3,21.9,0.379,17.1,21.8,0.784,12.2,30.4,42.6,21.5,13.8,7.3,3.9,5.3,21.4,22.0,99.6,-3.3,7,16,19,17,5,16,6,23,5,5,6,25,26,6,9,18,11,11,6,15,28,16,14,12,15,21,1,2009-11-29
9,Los Angeles Lakers,15,12,3,0.8,48.7,40.5,88.0,0.46,6.5,19.0,0.34,16.3,21.9,0.742,12.5,33.9,46.5,24.2,14.5,8.4,4.9,4.6,20.4,21.6,103.7,7.1,22,3,1,2,3,3,1,14,16,11,18,27,25,20,3,1,1,4,14,6,18,11,7,19,6,3,2009-10,New Jersey Nets,16,0,16,0.0,48.0,32.3,80.1,0.403,3.3,12.4,0.261,17.9,22.9,0.779,11.5,30.4,41.9,15.3,16.4,6.8,5.5,5.8,21.6,19.1,85.6,-10.6,7,30,30,30,18,30,18,30,29,27,30,20,22,7,12,19,17,30,27,21,10,23,17,29,30,29,1,2009-11-29
