,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Home-Team-Win,date
0,Detroit Pistons,74,34,40,0.459,48.3,38.9,87.0,0.447,10.6,28.8,0.37,14.6,19.6,0.745,10.3,33.5,43.7,22.5,13.6,7.6,3.9,5.0,18.6,18.4,103.1,-0.7,23,19,19,19,12,20,8,25,14,17,7,28,25,25,8,19,16,19,8,18,27,17,5,28,26,20,2017-18,Washington Wizards,74,41,33,0.554,48.5,40.1,85.5,0.469,9.8,26.2,0.375,17.1,22.2,0.773,10.0,33.1,43.1,25.1,14.5,7.9,4.4,4.8,21.4,20.3,107.1,1.2,23,14,12,14,3,12,18,10,22,24,4,11,13,15,12,22,19,4,17,11,22,15,26,15,13,13,1,2018-03-29
1,Miami Heat,75,40,35,0.533,48.5,38.7,84.7,0.456,11.2,30.9,0.363,14.7,19.6,0.751,9.2,33.8,43.0,22.8,14.4,7.6,5.2,4.6,20.1,19.3,103.3,0.5,5,16,16,16,2,23,26,17,9,7,15,26,24,24,21,14,20,16,16,19,7,9,21,21,24,16,2017-18,Chicago Bulls,74,24,50,0.324,48.5,38.7,88.9,0.436,10.9,31.0,0.353,14.7,19.3,0.764,9.6,35.1,44.7,23.6,13.8,7.4,3.6,5.0,19.3,17.4,103.1,-7.1,23,23,23,23,3,22,1,30,11,6,24,27,28,20,16,8,6,9,10,21,30,21,9,29,25,28,1,2018-03-29
2,San Antonio Spurs,75,43,32,0.573,48.1,39.1,85.3,0.458,8.5,24.1,0.353,15.9,20.5,0.773,10.3,34.0,44.3,22.9,13.3,7.5,5.6,3.9,17.1,19.6,102.5,3.1,5,10,10,10,26,18,21,15,28,27,25,21,22,14,7,12,9,15,5,20,4,2,1,20,28,8,2017-18,Oklahoma City Thunder,75,44,31,0.587,48.3,39.9,87.8,0.455,10.5,29.8,0.352,16.9,23.6,0.714,12.4,32.4,44.8,21.3,14.1,8.9,5.2,4.6,20.1,21.2,107.3,3.2,5,7,8,8,8,13,4,19,15,11,26,14,6,29,1,25,5,28,15,1,8,10,20,3,12,7,1,2018-03-29
3,Sacramento Kings,75,24,51,0.32,48.2,39.0,86.3,0.452,9.0,23.9,0.379,12.4,16.8,0.74,9.4,31.3,40.7,21.5,13.8,8.0,4.2,4.7,19.9,17.3,99.4,-7.4,5,23,24,24,18,19,13,21,25,28,3,30,30,28,19,28,29,25,9,7,25,12,17,30,29,29,2017-18,Indiana Pacers,75,44,31,0.587,48.2,40.7,86.1,0.473,9.0,24.4,0.368,15.1,19.4,0.779,9.5,32.9,42.4,22.0,13.4,8.8,4.2,5.2,18.8,18.6,105.6,1.7,5,7,8,8,18,6,14,6,26,26,8,25,27,11,17,23,22,22,6,2,25,24,6,26,17,11,0,2018-03-29
4,Golden State Warriors,74,54,20,0.73,48.1,42.9,85.1,0.504,11.4,29.1,0.392,16.8,20.6,0.813,8.6,35.3,43.9,29.6,15.5,8.0,7.7,3.6,19.8,18.5,114.0,7.0,23,3,2,3,23,1,23,1,8,15,1,17,20,1,27,4,14,1,26,9,1,1,16,27,1,3,2017-18,Milwaukee Bucks,74,39,35,0.527,48.3,39.4,82.2,0.479,8.8,24.7,0.355,18.4,23.6,0.779,8.2,31.2,39.4,22.9,13.9,8.6,5.5,4.2,21.4,20.0,105.9,-0.3,23,18,16,18,12,14,30,3,27,25,22,5,7,12,29,29,30,14,13,4,5,4,25,17,16,19,0,2018-03-29
