,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Home-Team-Win,date
0,Indiana Pacers,48,38,10,0.792,48.2,36.7,80.8,0.454,6.9,19.6,0.351,18.2,23.3,0.78,10.3,35.2,45.5,20.5,15.4,7.1,5.6,4.5,20.1,21.8,98.4,8.1,21,2,1,1,22,20,26,12,21,22,17,12,15,6,22,1,6,21,21,24,5,10,9,5,20,1,2013-14,Portland Trail Blazers,49,35,14,0.714,48.3,39.7,87.9,0.452,9.4,24.7,0.382,18.8,23.0,0.82,12.9,33.6,46.5,24.0,13.7,5.6,4.7,3.6,18.8,20.5,107.7,4.6,11,4,4,5,17,2,3,14,1,5,2,8,17,1,3,5,1,3,4,30,16,4,4,16,1,6,1,2014-02-07
1,Orlando Magic,51,14,37,0.275,48.7,36.3,82.3,0.442,7.1,20.4,0.347,16.5,21.6,0.761,9.2,33.0,42.2,20.6,15.0,7.6,4.2,5.9,19.9,18.9,96.2,-5.6,2,29,29,29,6,22,20,19,19,20,23,22,22,14,26,9,22,20,15,15,26,26,8,30,24,26,2013-14,Oklahoma City Thunder,51,40,11,0.784,48.2,39.1,82.5,0.474,7.2,20.4,0.354,19.5,24.4,0.8,11.3,34.5,45.8,21.6,15.8,8.1,6.2,3.8,21.7,20.3,105.0,7.6,2,1,2,2,26,5,18,4,18,18,15,5,9,2,15,3,4,14,27,11,2,6,21,17,5,2,1,2014-02-07
2,Philadelphia 76ers,50,15,35,0.3,48.7,38.8,88.2,0.44,6.8,21.6,0.316,16.7,23.4,0.715,11.9,32.8,44.6,22.5,17.4,9.0,4.2,7.3,22.0,20.7,101.2,-8.8,4,28,28,28,5,7,1,22,22,14,29,20,14,28,10,12,9,11,30,2,25,30,23,14,14,29,2013-14,Los Angeles Lakers,49,17,32,0.347,48.1,37.1,84.0,0.441,9.3,25.1,0.372,17.5,23.0,0.76,9.6,32.8,42.4,22.8,15.1,6.5,5.4,4.5,20.4,19.4,100.9,-5.3,11,23,23,23,27,19,10,21,3,4,8,16,16,16,24,11,20,10,18,28,6,12,14,27,15,25,0,2014-02-07
3,Washington Wizards,48,24,24,0.5,48.9,37.9,84.6,0.448,7.6,20.4,0.374,15.7,21.4,0.734,10.9,32.1,43.0,23.1,15.1,8.6,4.7,4.0,20.4,19.4,99.1,-0.3,21,14,15,15,1,15,8,17,15,19,6,26,25,24,19,15,15,8,17,7,14,7,13,26,19,16,2013-14,Cleveland Cavaliers,49,16,33,0.327,48.8,36.3,85.8,0.423,7.1,20.1,0.351,16.6,22.4,0.741,12.6,31.3,43.9,19.9,14.5,7.4,4.0,6.1,20.2,19.8,96.2,-6.3,11,26,26,27,2,23,4,28,20,21,18,21,19,22,4,21,11,28,10,19,28,27,11,21,23,27,0,2014-02-07
4,Boston Celtics,50,17,33,0.34,48.1,36.2,82.9,0.437,6.3,19.4,0.327,16.3,21.2,0.766,11.4,31.6,43.0,20.0,15.6,7.2,4.7,4.5,21.6,19.0,95.0,-3.9,4,23,26,25,28,24,14,26,25,25,28,24,26,13,14,19,16,26,25,23,15,13,20,29,26,24,2013-14,Sacramento Kings,49,17,32,0.347,48.4,37.4,83.3,0.45,6.7,19.5,0.344,20.2,26.2,0.772,12.0,31.8,43.7,19.7,14.9,7.4,4.0,5.8,23.3,22.7,101.8,-2.0,11,23,23,23,12,17,13,16,23,23,25,4,4,9,9,17,12,29,14,17,29,25,30,4,13,19,1,2014-02-07
5,Detroit Pistons,48,19,29,0.396,48.3,38.3,85.8,0.447,6.0,19.5,0.306,17.3,26.1,0.664,14.6,30.3,45.0,20.3,15.5,8.9,5.1,4.7,20.5,20.9,99.9,-3.0,21,21,21,21,15,12,5,18,26,24,30,17,5,30,1,25,7,23,24,5,9,16,15,12,17,23,2013-14,Brooklyn Nets,47,22,25,0.468,48.5,35.4,78.5,0.451,7.9,21.5,0.37,18.9,24.6,0.77,9.3,29.9,39.2,20.9,14.6,7.8,4.2,4.0,22.4,21.1,97.7,-2.4,29,18,16,18,7,27,29,15,14,15,10,7,8,10,25,27,29,17,11,12,24,8,26,11,21,21,1,2014-02-07
6,New York Knicks,49,19,30,0.388,48.4,36.5,82.6,0.442,8.9,24.2,0.366,14.9,19.9,0.749,10.8,29.8,40.6,20.1,12.8,7.7,4.7,3.7,22.3,19.7,96.8,-2.1,11,21,22,22,12,21,17,20,7,7,11,30,29,20,20,28,27,25,1,14,16,5,25,22,22,20,2013-14,Denver Nuggets,47,24,23,0.511,48.0,38.3,84.8,0.452,8.3,22.7,0.363,19.0,26.0,0.731,12.1,33.6,45.7,22.4,15.2,7.2,5.9,5.5,22.8,21.4,104.0,0.8,29,14,12,14,30,11,7,13,10,10,14,6,6,25,6,6,5,12,19,22,3,22,29,7,9,14,1,2014-02-07
7,Dallas Mavericks,50,29,21,0.58,48.1,39.6,83.4,0.475,8.4,22.4,0.374,17.1,21.4,0.798,9.8,30.0,39.8,23.5,13.7,8.9,4.1,3.5,20.5,19.6,104.7,2.0,4,9,10,10,28,3,12,3,8,11,5,18,24,3,23,26,28,7,5,3,27,3,16,23,7,12,2013-14,Utah Jazz,48,16,32,0.333,48.2,35.7,81.4,0.439,6.6,18.6,0.352,16.4,21.7,0.754,11.1,30.5,41.6,19.9,14.8,6.8,4.7,4.9,21.0,20.7,94.4,-6.5,21,26,23,26,22,26,24,23,24,26,16,23,20,18,17,23,24,27,13,27,18,18,18,15,27,28,1,2014-02-07
8,New Orleans Pelicans,48,21,27,0.438,48.4,38.2,83.9,0.455,5.9,15.6,0.379,17.6,22.8,0.773,12.4,30.5,42.8,21.4,13.8,8.2,6.5,6.2,22.5,20.0,100.0,-1.5,21,20,19,20,11,13,11,11,27,29,4,15,18,8,5,24,17,16,6,10,1,28,27,19,16,18,2013-14,Minnesota Timberwolves,49,24,25,0.49,48.2,38.6,88.1,0.438,7.6,22.0,0.346,21.0,26.9,0.783,12.9,32.9,45.8,23.5,13.8,8.8,3.6,5.7,17.8,22.8,105.8,4.1,11,14,16,16,24,9,2,25,16,12,24,3,3,5,2,10,3,6,7,6,30,24,1,3,3,8,1,2014-02-07
9,Los Angeles Clippers,52,34,18,0.654,48.3,38.3,81.8,0.469,8.1,23.7,0.344,21.4,29.3,0.729,10.4,32.4,42.8,23.9,13.9,8.3,4.5,3.3,21.5,23.7,106.2,5.5,1,6,7,7,21,10,23,6,11,8,26,2,2,26,21,14,18,4,8,9,20,2,19,2,2,4,2013-14,Toronto Raptors,49,26,23,0.531,48.5,36.1,82.5,0.438,8.3,22.8,0.366,18.7,24.2,0.773,12.0,31.4,43.5,20.9,14.3,6.9,4.4,4.6,22.6,21.7,99.3,2.7,11,11,12,12,10,25,19,24,9,9,13,9,10,7,8,20,13,18,9,26,23,15,28,6,18,11,1,2014-02-07
