,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Home-Team-Win,date
0,Charlotte Bobcats,23,8,15,0.348,48.2,34.7,76.1,0.455,5.6,16.0,0.351,18.7,24.7,0.755,10.4,31.1,41.6,21.3,17.1,6.6,6.2,6.6,20.9,21.2,93.6,-3.4,19,21,20,21,15,27,29,17,23,22,19,16,17,17,17,15,16,14,29,24,4,30,10,19,26,22,2010-11,Toronto Raptors,24,9,15,0.375,48.0,38.7,82.8,0.468,5.1,15.2,0.337,20.3,26.9,0.755,12.3,29.3,41.7,20.6,15.2,7.4,3.3,5.3,22.3,22.1,102.9,-2.6,10,19,20,20,22,6,7,10,27,27,24,9,9,16,6,23,15,17,23,13,30,19,22,11,8,21,1,2010-12-14
1,New Jersey Nets,24,6,18,0.25,49.0,34.2,78.4,0.436,5.8,16.5,0.348,19.3,24.7,0.779,10.0,30.7,40.7,18.6,14.2,4.9,4.5,4.5,23.0,20.1,93.3,-5.8,10,26,27,27,2,29,24,25,19,17,20,12,16,12,20,18,20,28,14,30,20,11,25,26,27,23,2010-11,Philadelphia 76ers,23,8,15,0.348,48.4,37.1,80.7,0.46,5.7,15.0,0.378,18.1,24.1,0.751,10.2,31.8,42.0,22.5,13.8,7.3,4.5,4.5,22.2,19.7,98.0,0.3,19,21,20,21,11,14,16,13,22,28,10,20,21,20,19,8,12,8,8,15,23,9,20,29,19,15,0,2010-12-14
2,Washington Wizards,22,6,16,0.273,48.7,36.8,82.3,0.447,5.7,17.0,0.337,18.7,24.6,0.758,12.0,27.0,39.0,20.5,16.6,8.7,6.0,4.8,23.5,20.8,98.0,-8.4,29,26,23,26,7,17,10,22,20,15,25,15,19,15,10,29,29,20,27,5,5,14,28,22,20,29,2010-11,Los Angeles Lakers,24,17,7,0.708,48.0,39.3,85.1,0.462,7.8,20.1,0.389,20.0,24.7,0.811,12.5,31.9,44.3,23.1,13.8,8.5,5.3,5.3,20.1,21.3,106.4,7.8,10,6,4,4,22,2,3,12,8,8,3,11,18,3,5,7,3,7,9,6,9,20,6,16,5,4,0,2010-12-14
3,Detroit Pistons,25,7,18,0.28,48.8,35.6,80.2,0.443,5.8,15.3,0.38,17.4,23.7,0.735,10.9,27.9,38.8,19.1,13.8,6.4,4.1,5.1,20.1,20.0,94.4,-6.5,3,24,27,25,5,22,20,24,17,25,9,26,24,25,12,28,30,24,6,25,25,16,7,28,24,25,2010-11,Atlanta Hawks,25,16,9,0.64,48.2,37.4,79.2,0.472,6.0,16.4,0.366,17.9,23.0,0.78,9.8,30.7,40.4,23.8,13.4,6.0,4.7,4.5,19.8,20.2,98.8,2.7,3,8,10,10,19,13,23,5,14,18,14,22,27,9,24,17,21,3,3,28,18,8,4,25,16,9,1,2010-12-14
4,Houston Rockets,23,9,14,0.391,48.4,37.5,82.2,0.456,7.7,20.0,0.386,22.2,27.9,0.796,10.6,31.3,41.9,23.1,15.1,6.9,4.9,5.6,21.1,23.1,104.9,0.0,19,19,18,19,11,12,11,16,9,9,7,3,4,6,15,12,13,6,22,19,14,23,12,4,6,16,2010-11,Sacramento Kings,21,5,16,0.238,48.0,35.9,82.8,0.433,5.2,16.3,0.322,17.4,24.8,0.702,13.5,29.2,42.7,18.8,14.9,6.4,5.1,5.0,23.5,21.3,94.4,-6.8,30,29,23,29,22,21,6,27,26,19,29,28,14,27,3,24,6,27,18,26,11,15,27,17,23,27,1,2010-12-14
5,Denver Nuggets,23,14,9,0.609,48.0,36.8,80.2,0.459,8.2,21.2,0.385,24.9,31.8,0.783,9.9,31.3,41.3,21.1,14.7,7.3,4.1,6.4,22.0,23.4,106.7,1.8,19,12,10,12,22,16,19,15,6,6,8,2,1,8,23,11,18,15,15,15,26,28,19,3,3,11,2010-11,Orlando Magic,24,16,8,0.667,48.0,35.4,75.7,0.468,8.5,24.0,0.355,17.7,25.8,0.684,10.0,32.3,42.3,18.2,14.9,5.8,4.5,4.1,20.0,22.8,97.0,5.1,10,8,5,8,22,24,30,9,4,3,17,25,11,30,22,5,9,29,19,29,20,6,5,5,21,6,1,2010-12-14
6,Golden State Warriors,24,8,16,0.333,48.0,38.8,86.5,0.448,8.0,20.6,0.388,14.8,20.5,0.722,13.5,28.4,41.9,22.0,15.9,9.4,4.0,5.6,23.3,17.9,100.4,-6.6,10,21,23,23,22,5,2,20,7,7,4,30,30,26,2,26,14,11,26,1,27,24,26,30,13,26,2010-11,Minnesota Timberwolves,24,6,18,0.25,48.2,37.8,87.0,0.435,7.2,18.4,0.391,18.9,24.8,0.761,14.2,31.5,45.8,18.8,17.5,6.9,6.4,6.5,24.0,21.7,101.8,-7.4,10,26,27,27,18,10,1,26,10,11,2,13,15,13,1,10,1,26,30,20,3,29,30,12,9,28,1,2010-12-14
