,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Home-Team-Win,date
0,Indiana Pacers,43,25,18,0.581,48.3,34.8,80.9,0.431,5.6,15.6,0.358,20.1,26.0,0.773,12.3,31.2,43.5,18.0,14.3,8.1,5.3,6.1,21.7,21.4,95.3,2.4,26,11,6,8,13,25,20,26,21,22,10,3,3,8,7,12,5,30,9,13,11,27,27,6,16,6,2011-12,Los Angeles Clippers,44,26,18,0.591,48.6,36.6,81.5,0.449,7.5,21.4,0.353,16.5,23.9,0.69,12.3,30.5,42.8,20.8,13.5,8.0,4.8,4.3,21.5,21.5,97.3,2.1,21,8,6,7,5,13,17,13,5,5,12,17,11,29,8,16,12,15,3,14,19,5,25,5,12,9,1,2012-03-20
1,New York Knicks,45,21,24,0.467,48.3,35.6,81.2,0.439,7.2,22.4,0.322,19.2,25.6,0.75,11.2,30.7,41.9,20.1,16.5,9.6,4.3,5.0,21.2,22.5,97.8,1.8,10,19,18,19,15,21,18,20,8,3,25,6,6,20,16,15,16,22,29,2,25,16,24,2,7,13,2011-12,Toronto Raptors,45,15,30,0.333,48.4,34.4,78.3,0.439,5.6,16.5,0.336,16.6,21.8,0.764,10.3,31.0,41.4,21.2,15.4,7.0,5.1,4.8,24.4,18.8,91.0,-3.8,10,26,26,26,10,27,27,21,22,19,18,16,20,11,25,13,22,12,23,24,16,12,30,23,27,23,1,2012-03-20
2,Miami Heat,44,33,11,0.75,48.8,38.3,79.4,0.482,5.8,14.9,0.391,19.5,25.1,0.776,10.2,32.1,42.3,21.0,15.0,8.9,5.3,4.4,20.2,20.8,101.8,8.2,21,3,2,3,2,2,22,1,19,25,2,5,7,5,27,8,14,14,17,4,10,7,19,7,3,2,2011-12,Phoenix Suns,45,23,22,0.511,48.0,37.1,81.7,0.454,6.7,19.4,0.346,15.6,20.5,0.761,10.5,31.3,41.8,22.7,14.2,6.8,5.6,4.4,18.4,19.2,96.4,-0.8,10,16,15,16,29,9,13,9,14,17,15,25,24,13,23,11,19,5,8,26,5,6,7,20,15,20,1,2012-03-20
3,Houston Rockets,46,24,22,0.522,48.5,37.5,82.9,0.453,7.0,19.4,0.358,15.7,19.9,0.785,11.4,30.5,41.8,20.8,14.9,7.3,4.7,4.9,20.3,18.5,97.7,0.0,6,14,15,15,7,7,6,10,11,16,11,22,29,4,15,17,17,16,16,19,21,15,20,26,9,18,2011-12,Los Angeles Lakers,45,28,17,0.622,48.7,35.9,79.2,0.453,5.3,17.2,0.306,18.2,24.3,0.752,11.4,34.4,45.8,21.4,15.4,6.1,5.4,4.0,17.9,20.6,95.2,2.4,10,6,5,5,4,18,24,11,24,18,28,8,9,17,14,1,2,11,21,30,8,1,6,9,17,8,1,2012-03-20
4,Utah Jazz,45,23,22,0.511,48.6,37.8,83.3,0.454,3.7,12.0,0.304,18.4,24.4,0.752,12.8,30.3,43.1,21.2,14.0,8.5,5.5,5.9,22.1,20.5,97.7,-0.6,10,16,15,16,6,4,5,8,30,29,29,7,8,18,5,19,9,12,4,6,6,24,29,11,8,19,2011-12,Oklahoma City Thunder,45,34,11,0.756,48.2,37.0,78.2,0.473,7.2,20.4,0.353,21.5,27.1,0.793,10.6,32.7,43.3,18.4,16.6,7.5,8.0,4.6,20.2,20.3,102.7,6.1,10,2,2,2,21,10,28,2,9,11,13,1,2,2,20,4,8,27,30,17,1,8,18,12,2,4,1,2012-03-20
5,Sacramento Kings,45,16,29,0.356,48.2,36.4,85.6,0.425,6.6,20.6,0.322,17.7,23.4,0.756,13.4,29.6,43.0,18.3,14.8,8.2,4.5,6.3,19.5,20.2,97.0,-6.0,10,24,24,24,21,16,1,29,15,8,23,10,13,16,2,26,10,29,14,12,23,28,13,13,14,27,2011-12,Memphis Grizzlies,43,25,18,0.581,48.5,36.9,82.3,0.448,3.8,11.8,0.321,17.6,23.4,0.75,12.1,30.0,42.0,19.7,14.9,10.2,5.3,5.7,19.8,20.1,95.1,2.0,26,11,6,8,8,12,8,14,29,30,27,11,12,19,9,21,15,23,15,1,12,22,16,14,19,11,1,2012-03-20
6,Portland Trail Blazers,45,21,24,0.467,48.4,36.6,81.9,0.447,6.6,19.9,0.334,17.3,22.0,0.788,11.0,30.4,41.3,20.7,14.4,8.3,5.2,4.6,20.0,20.5,97.1,1.7,10,19,18,19,10,14,11,15,15,13,19,12,15,3,19,18,23,17,11,9,13,10,17,10,13,14,2011-12,Milwaukee Bucks,44,20,24,0.455,48.1,36.9,85.4,0.432,6.9,20.2,0.339,16.9,21.2,0.796,13.0,28.8,41.8,22.8,14.1,8.2,4.8,4.8,19.6,19.5,97.5,-1.1,21,21,18,21,25,11,2,25,13,12,16,15,22,1,3,28,20,4,7,11,18,13,14,18,11,21,0,2012-03-20
