,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Home-Team-Win,date
0,Orlando Magic,14,6,8,0.429,48.0,40.1,91.2,0.44,10.9,32.1,0.341,12.7,17.0,0.748,10.3,33.4,43.7,25.6,13.7,7.9,6.1,5.0,20.3,19.6,103.9,-4.8,3,18,20,20,20,15,10,25,15,15,21,30,30,18,17,21,21,6,5,13,6,10,3,29,27,23,2018-19,Philadelphia 76ers,15,9,6,0.6,49.0,39.4,87.5,0.45,11.2,33.3,0.337,22.7,29.1,0.78,10.1,39.2,49.3,26.1,16.5,6.7,6.1,5.5,23.7,24.5,112.7,-0.2,1,5,10,8,3,20,22,16,13,10,23,2,2,11,20,3,3,4,26,26,8,20,26,6,10,16,1,2018-11-14
1,Washington Wizards,13,4,9,0.308,48.4,39.4,86.9,0.453,10.6,32.4,0.328,21.6,27.9,0.774,8.8,31.4,40.2,21.9,14.7,8.1,6.5,5.2,22.8,23.8,111.0,-7.5,14,25,24,25,8,21,24,14,18,13,26,3,4,14,26,28,29,24,13,11,2,15,16,9,12,28,2018-19,Cleveland Cavaliers,13,2,11,0.154,48.0,39.4,87.7,0.449,8.5,23.4,0.365,16.7,20.5,0.813,12.2,32.2,44.5,20.1,15.5,7.2,2.4,5.8,21.5,19.7,104.0,-7.2,14,29,28,29,20,21,20,19,30,30,8,23,28,6,4,24,18,28,24,16,30,22,10,28,26,27,1,2018-11-14
2,Boston Celtics,13,7,6,0.538,48.4,38.3,90.0,0.426,13.4,37.6,0.356,15.2,19.5,0.779,10.2,36.0,46.2,23.6,13.3,7.1,5.2,3.4,21.5,20.5,105.2,1.7,14,11,10,13,8,27,14,29,3,3,15,28,29,12,18,7,11,15,3,18,19,1,9,26,25,12,2018-19,Chicago Bulls,14,4,10,0.286,49.1,39.2,87.2,0.45,10.5,29.3,0.359,17.0,22.1,0.768,7.9,34.2,42.1,22.0,14.9,7.2,5.4,6.9,21.1,19.4,105.9,-6.4,3,25,26,26,2,25,23,17,19,21,13,21,23,15,30,17,25,23,16,17,17,29,7,30,23,26,1,2018-11-14
3,Brooklyn Nets,14,6,8,0.429,48.4,40.2,89.1,0.451,12.8,35.1,0.365,15.9,22.5,0.708,11.7,31.8,43.5,24.3,14.6,6.9,4.6,5.1,23.4,21.0,109.1,-0.9,3,18,20,20,16,14,16,15,4,4,9,26,18,26,9,27,23,13,12,20,25,12,25,21,18,18,2018-19,Miami Heat,13,5,8,0.385,48.4,39.4,89.3,0.441,12.4,33.2,0.374,19.7,27.4,0.719,12.2,35.2,47.4,22.7,16.7,6.7,6.9,6.4,24.2,25.0,110.8,-0.8,14,22,20,22,8,21,15,24,6,11,6,8,5,24,5,11,6,18,27,24,1,26,29,4,13,17,0,2018-11-14
4,Toronto Raptors,14,12,2,0.857,48.0,43.9,90.3,0.486,11.9,34.6,0.345,17.7,22.2,0.797,10.7,35.8,46.5,25.0,14.4,8.6,5.6,4.8,22.7,21.4,117.4,8.0,3,1,1,1,20,6,12,2,9,8,20,18,21,9,14,8,9,7,11,6,13,7,15,20,4,4,2018-19,Detroit Pistons,12,6,6,0.5,49.3,39.8,94.0,0.424,11.0,34.9,0.315,19.4,26.2,0.742,13.4,35.8,49.2,20.8,14.8,6.6,3.9,5.1,24.7,24.5,110.1,-1.2,28,18,10,17,1,17,1,30,14,6,29,10,8,21,1,9,4,26,14,27,28,11,30,7,16,20,0,2018-11-14
5,Milwaukee Bucks,13,10,3,0.769,48.4,44.7,92.5,0.483,15.2,40.5,0.376,17.0,21.7,0.784,10.3,41.3,51.6,27.3,15.5,6.8,6.4,5.4,21.6,20.8,121.6,11.9,14,3,2,3,8,3,3,5,1,2,5,21,25,10,16,1,2,2,22,21,3,18,11,22,1,1,2018-19,Memphis Grizzlies,12,7,5,0.583,48.4,36.3,81.8,0.444,9.7,27.1,0.357,19.5,25.8,0.755,8.0,30.3,38.3,22.4,13.4,9.8,4.3,4.8,22.7,23.6,101.8,1.2,28,11,5,9,7,30,30,22,24,25,14,9,9,17,29,30,30,20,4,2,26,8,14,10,29,13,0,2018-11-14
6,Minnesota Timberwolves,14,5,9,0.357,48.0,40.0,91.6,0.436,10.7,29.6,0.361,20.5,25.0,0.82,11.5,32.1,43.6,22.5,13.9,9.1,5.9,5.4,20.4,22.9,111.2,-6.1,3,22,24,24,20,16,6,26,16,20,11,5,10,4,10,26,22,19,6,3,11,16,4,12,11,25,2018-19,New Orleans Pelicans,13,7,6,0.538,48.0,44.2,91.3,0.484,9.8,27.5,0.359,20.2,27.2,0.742,11.9,36.2,48.2,27.1,15.2,6.8,5.8,5.2,23.4,23.1,118.3,1.8,14,11,10,13,20,4,8,3,22,24,12,6,7,20,8,5,5,3,20,21,12,13,24,11,3,11,1,2018-11-14
7,Oklahoma City Thunder,13,8,5,0.615,48.0,40.6,91.7,0.443,9.2,30.7,0.301,19.2,27.4,0.702,13.2,33.6,46.8,20.8,14.3,11.5,5.5,4.4,23.2,25.6,109.7,3.5,14,7,5,6,20,12,5,23,28,17,30,11,5,27,2,19,8,25,9,1,16,4,22,1,17,8,2018-19,New York Knicks,14,4,10,0.286,48.7,39.4,91.3,0.431,9.3,29.1,0.319,18.4,23.6,0.776,12.6,33.6,46.1,19.1,15.2,7.6,4.7,6.5,23.2,21.9,106.4,-5.2,3,25,26,26,6,24,9,27,27,22,28,15,15,13,3,20,12,30,21,15,23,27,21,17,22,24,1,2018-11-14
8,Dallas Mavericks,13,5,8,0.385,48.4,39.6,86.3,0.459,12.0,33.8,0.355,18.9,24.8,0.762,10.1,34.2,44.2,23.2,17.7,6.8,4.9,4.5,22.3,25.2,110.2,-2.3,14,22,20,22,8,19,25,12,8,9,17,12,11,16,19,18,19,17,28,21,20,5,13,3,15,21,2018-19,Utah Jazz,13,7,6,0.538,48.0,38.8,83.5,0.465,11.2,32.5,0.346,21.6,29.5,0.734,9.9,33.2,43.2,24.4,15.1,8.0,5.6,4.2,23.0,25.5,110.4,2.2,14,11,10,13,20,26,28,9,12,12,19,3,1,22,21,22,24,12,18,12,15,3,18,2,14,10,1,2018-11-14
9,Phoenix Suns,13,2,11,0.154,48.4,37.0,82.9,0.446,10.1,30.9,0.326,17.1,21.2,0.804,8.4,33.0,41.4,23.3,18.4,6.7,3.5,5.2,23.9,20.5,101.2,-13.5,14,29,28,29,8,28,29,21,21,16,27,20,27,7,27,23,26,16,29,24,29,13,27,25,30,30,2018-19,San Antonio Spurs,12,7,5,0.583,48.8,40.3,90.1,0.448,9.5,24.8,0.384,18.5,22.4,0.825,10.8,34.8,45.5,23.8,12.3,6.5,4.2,4.8,18.8,22.3,108.7,1.1,28,11,5,9,4,13,13,20,25,28,4,13,19,3,13,13,15,14,1,28,27,8,1,15,21,14,1,2018-11-14
