,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Home-Team-Win,date
0,Miami Heat,65,41,24,0.631,48.7,39.6,84.4,0.47,13.4,34.8,0.383,19.5,25.1,0.778,8.5,36.0,44.5,26.0,14.9,7.4,4.5,4.2,20.4,21.5,112.2,3.2,6,7,8,8,1,25,30,9,6,10,1,5,4,13,29,7,16,5,17,20,23,5,13,6,15,8,2019-20,Memphis Grizzlies,65,32,33,0.492,48.1,42.8,91.0,0.47,10.9,31.1,0.352,16.2,21.3,0.761,10.4,36.3,46.7,27.0,15.3,8.0,5.6,5.3,20.8,19.7,112.6,-1.1,6,14,14,14,29,3,4,7,23,25,21,24,25,19,13,5,6,2,23,12,7,22,17,23,13,17,0,2020-07-28
1,Phoenix Suns,65,26,39,0.4,48.2,40.8,87.8,0.464,11.2,31.7,0.353,19.8,24.0,0.826,9.8,33.3,43.1,27.2,15.1,7.8,4.0,5.6,22.1,22.8,112.6,-1.4,6,21,21,21,22,15,24,12,20,21,19,3,9,1,21,24,22,1,21,14,28,27,27,1,14,18,2019-20,Toronto Raptors,64,46,18,0.719,48.3,40.6,88.5,0.458,13.8,37.0,0.371,18.1,22.6,0.8,9.7,35.5,45.2,25.4,14.4,8.8,4.9,5.3,21.5,20.0,113.0,6.5,18,3,3,3,15,17,19,21,4,7,6,12,19,5,23,10,12,11,13,2,17,21,22,20,12,4,1,2020-07-28
2,Indiana Pacers,65,39,26,0.6,48.3,42.2,88.4,0.477,10.0,27.5,0.363,15.1,19.1,0.787,8.8,34.0,42.8,25.9,13.1,7.2,5.1,4.5,19.6,18.6,109.3,1.9,6,12,11,11,17,5,20,3,29,30,12,30,30,12,27,20,24,6,5,22,11,8,8,30,22,13,2019-20,San Antonio Spurs,63,27,36,0.429,48.6,42.0,89.5,0.47,10.7,28.7,0.371,18.4,22.8,0.809,8.8,35.6,44.4,24.5,12.3,7.2,5.5,4.4,19.2,19.7,113.2,-1.8,29,20,17,20,5,6,13,8,26,28,7,10,18,2,28,9,18,13,1,23,8,7,7,25,10,20,0,2020-07-28
3,Portland Trail Blazers,66,29,37,0.439,48.2,41.9,90.9,0.461,12.6,33.8,0.372,17.3,21.7,0.798,10.1,35.4,45.5,20.2,13.0,6.1,6.2,5.0,21.4,19.7,113.6,-1.6,3,17,20,17,27,8,6,16,11,15,4,17,23,6,17,12,10,30,4,29,2,17,20,24,8,19,2019-20,Oklahoma City Thunder,64,40,24,0.625,48.3,40.3,85.1,0.473,10.4,29.3,0.355,19.8,24.8,0.797,8.1,34.6,42.7,21.9,13.5,7.6,5.0,4.1,18.8,22.8,110.8,2.5,18,9,8,9,15,21,28,5,28,27,18,4,5,7,30,15,26,28,6,17,14,4,4,2,18,11,0,2020-07-28
4,Houston Rockets,64,40,24,0.625,48.2,41.1,90.7,0.454,15.4,44.3,0.348,20.5,26.0,0.787,10.4,34.6,44.9,21.5,14.7,8.5,5.1,4.9,21.6,20.8,118.1,3.8,18,9,8,9,19,13,7,22,1,1,23,2,2,10,15,16,14,29,15,5,10,15,23,12,2,7,2019-20,Boston Celtics,64,43,21,0.672,48.4,41.2,89.6,0.459,12.4,34.2,0.363,18.3,22.8,0.801,10.7,35.3,46.0,22.8,13.6,8.3,5.6,5.6,21.4,20.6,113.0,6.2,18,5,5,5,10,12,12,18,12,14,13,11,16,4,8,13,9,25,7,7,6,25,19,13,11,5,1,2020-07-28
5,Philadelphia 76ers,65,39,26,0.6,48.2,40.8,87.7,0.465,11.4,31.6,0.362,16.6,22.1,0.752,10.4,35.1,45.5,25.9,14.2,8.2,5.4,3.9,20.6,20.3,109.6,2.2,6,12,11,11,22,14,25,10,19,22,14,22,21,23,16,14,11,8,10,9,9,2,15,17,21,12,2019-20,Dallas Mavericks,67,40,27,0.597,48.3,41.6,90.0,0.462,15.3,41.5,0.369,17.9,23.1,0.773,10.6,36.4,47.0,24.5,12.8,6.3,5.0,4.0,19.0,20.8,116.4,6.0,1,9,13,13,18,11,10,13,2,2,8,14,15,15,9,4,5,14,3,28,15,3,5,11,3,6,0,2020-07-28
