,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Home-Team-Win,date
0,Indiana Pacers,42,19,23,0.452,48.6,42.3,89.6,0.472,12.3,34.2,0.36,16.2,20.6,0.788,8.6,33.1,41.8,26.8,13.9,8.6,6.0,5.3,20.2,18.6,113.1,-0.2,19,19,19,19,3,9,6,11,19,19,19,22,23,9,25,23,29,5,12,4,2,20,22,21,13,16,2020-21,Detroit Pistons,42,12,30,0.286,48.7,38.3,86.7,0.442,12.3,35.2,0.349,18.2,23.5,0.773,10.2,32.7,42.9,24.3,14.6,7.9,5.0,5.8,20.3,20.5,107.1,-3.7,19,28,28,28,1,29,26,28,20,13,25,6,6,19,16,27,26,20,21,12,12,28,24,8,24,23,1,2021-03-24
1,Toronto Raptors,43,17,26,0.395,48.0,39.4,88.2,0.447,15.3,40.7,0.376,17.8,21.6,0.825,9.2,31.8,41.0,25.0,13.6,8.4,5.4,6.0,22.3,20.5,112.0,-0.4,8,24,24,24,29,23,16,25,3,3,11,7,15,4,20,30,30,14,11,5,7,29,30,9,18,19,2020-21,Denver Nuggets,43,26,17,0.605,48.7,43.6,89.3,0.488,13.3,34.6,0.386,15.2,19.3,0.786,10.2,33.8,44.1,26.9,13.4,8.3,4.4,4.3,19.2,19.5,115.7,5.3,8,8,8,8,2,3,9,3,10,16,5,27,28,12,15,20,13,4,7,6,24,7,14,16,4,6,1,2021-03-24
2,Milwaukee Bucks,42,28,14,0.667,48.1,44.6,91.6,0.487,14.7,37.5,0.391,16.0,21.3,0.75,10.3,38.3,48.6,26.2,13.9,8.0,4.8,4.7,17.6,18.5,120.0,7.5,19,5,4,5,19,1,2,4,4,7,4,24,19,24,13,1,1,10,13,10,17,13,3,23,2,2,2020-21,Boston Celtics,43,21,22,0.488,48.2,41.5,88.4,0.469,12.6,33.5,0.376,16.4,21.8,0.755,11.0,33.0,43.9,22.9,14.0,7.9,5.1,5.0,20.8,19.7,112.0,0.7,8,16,15,18,15,14,15,13,17,21,12,19,14,23,5,24,15,25,14,13,11,17,26,15,17,11,1,2021-03-24
3,Orlando Magic,43,14,29,0.326,48.1,38.5,89.4,0.431,12.0,33.7,0.357,15.3,19.6,0.784,10.4,35.9,46.3,22.7,13.3,6.7,4.1,5.0,16.7,18.0,104.4,-6.9,8,27,27,27,24,28,7,30,21,20,20,26,27,14,9,5,5,26,6,25,27,18,1,28,29,28,2020-21,Phoenix Suns,42,29,13,0.69,48.5,42.9,87.5,0.49,13.2,34.5,0.383,15.1,18.2,0.829,8.2,35.1,43.3,27.4,13.2,6.6,4.3,3.8,19.8,17.9,114.0,6.7,19,4,2,3,8,6,20,2,11,17,7,30,30,3,28,12,21,2,5,28,26,3,17,30,11,3,1,2021-03-24
4,Chicago Bulls,42,19,23,0.452,48.5,42.7,89.0,0.48,13.0,34.3,0.378,15.2,18.9,0.803,9.4,35.5,45.0,26.3,16.0,6.8,4.4,4.9,19.9,18.7,113.5,-0.4,19,19,19,19,8,7,11,10,14,18,9,28,29,6,18,6,10,8,30,24,22,16,19,20,12,18,2020-21,Cleveland Cavaliers,43,16,27,0.372,48.6,39.2,86.7,0.452,9.4,27.5,0.342,16.3,22.4,0.729,11.2,32.2,43.4,23.2,15.8,8.3,5.1,6.0,19.0,20.4,104.1,-7.9,8,25,25,25,4,24,25,23,30,30,29,21,11,29,3,29,20,23,29,7,10,29,11,10,30,30,0,2021-03-24
5,Houston Rockets,42,12,30,0.286,48.1,38.5,88.6,0.435,13.1,40.1,0.328,16.9,22.7,0.743,9.0,33.3,42.4,22.2,14.5,7.9,5.5,5.6,20.0,19.9,107.1,-6.3,19,28,28,28,19,27,13,29,12,4,30,15,9,27,23,21,28,28,20,11,6,24,21,12,24,27,2020-21,Charlotte Hornets,42,21,21,0.5,48.1,40.6,88.0,0.461,13.9,36.2,0.383,16.6,21.4,0.777,10.5,33.3,43.8,27.1,15.5,8.2,4.7,5.2,18.4,19.1,111.7,-1.4,19,16,13,13,19,18,17,17,7,11,6,16,17,16,8,22,17,3,28,8,18,19,6,17,19,21,0,2021-03-24
6,Minnesota Timberwolves,43,10,33,0.233,48.3,40.5,91.3,0.443,12.7,36.2,0.35,15.7,20.7,0.76,10.4,32.7,43.0,25.0,14.6,8.7,5.7,5.7,21.5,18.8,109.4,-7.7,8,30,30,30,11,20,3,27,16,12,24,25,22,22,12,26,22,13,22,3,4,25,27,19,23,29,2020-21,Dallas Mavericks,41,22,19,0.537,48.1,40.6,86.1,0.471,13.7,37.7,0.363,17.2,21.9,0.787,8.2,34.7,42.9,22.7,12.3,6.2,4.6,3.6,19.8,20.6,112.1,0.9,28,10,11,11,18,19,28,12,9,5,16,11,13,11,27,15,25,27,3,30,20,2,16,5,16,10,0,2021-03-24
7,Oklahoma City Thunder,43,19,24,0.442,48.3,39.1,87.2,0.449,13.0,37.0,0.351,15.1,20.3,0.744,8.3,36.3,44.6,22.9,14.9,6.9,4.4,4.6,18.2,18.3,106.4,-5.6,8,19,21,21,11,25,23,24,13,8,23,29,25,26,26,3,11,24,24,22,21,11,5,25,26,26,2020-21,Memphis Grizzlies,40,20,20,0.5,48.3,42.4,91.8,0.462,10.5,30.2,0.348,16.1,20.5,0.785,11.1,34.6,45.7,26.8,13.6,9.7,4.4,5.5,19.0,18.3,111.4,0.4,29,18,12,13,13,8,1,16,29,26,26,23,24,13,4,18,8,6,10,1,25,23,9,26,21,13,0,2021-03-24
8,San Antonio Spurs,40,22,18,0.55,48.3,41.4,90.4,0.458,10.8,29.9,0.361,16.5,20.9,0.788,9.1,35.2,44.2,24.6,11.4,7.1,5.2,5.4,17.3,18.2,110.0,-0.1,29,10,9,10,13,15,5,19,26,27,18,18,21,10,22,11,12,17,2,19,9,22,2,27,22,15,2020-21,LA Clippers,44,28,16,0.636,48.0,41.9,86.8,0.483,14.4,34.7,0.414,16.6,19.7,0.844,9.4,34.6,44.0,24.3,12.9,7.3,4.4,3.5,19.1,17.9,114.8,5.5,1,5,6,6,29,11,24,6,6,15,1,17,26,1,19,17,14,18,4,16,23,1,13,29,8,5,0,2021-03-24
9,Utah Jazz,42,31,11,0.738,48.1,41.2,88.0,0.468,16.9,42.7,0.396,17.5,22.4,0.782,11.0,36.9,47.8,23.7,14.3,6.5,5.5,4.1,18.9,19.8,116.8,8.3,19,1,1,1,19,16,18,14,1,2,3,10,10,15,6,2,2,21,18,29,5,5,7,14,3,1,2020-21,Brooklyn Nets,44,30,14,0.682,48.6,43.7,87.4,0.5,14.6,36.7,0.397,18.2,22.9,0.796,8.7,35.2,43.9,26.7,14.0,6.6,5.3,4.4,19.0,18.8,120.1,5.0,1,3,4,4,5,2,21,1,5,9,2,5,8,8,24,10,16,7,16,27,8,9,10,18,1,7,1,2021-03-24
