,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Home-Team-Win,date
0,Oklahoma City Thunder,37,16,21,0.432,48.4,39.0,87.5,0.446,13.0,37.8,0.344,15.1,20.4,0.739,7.9,36.7,44.6,23.1,14.4,6.9,4.3,4.7,18.4,18.3,106.2,-5.2,10,20,22,22,9,25,21,25,14,5,27,29,23,27,29,3,10,24,20,21,25,13,5,24,27,25,2020-21,New York Knicks,38,19,19,0.5,48.0,38.9,85.6,0.455,10.4,28.0,0.371,16.6,21.4,0.775,10.4,35.9,46.3,21.1,13.8,6.6,4.8,5.5,20.7,18.3,104.8,-0.4,2,11,16,14,27,26,29,21,29,29,12,18,18,19,13,5,5,29,11,26,17,21,25,26,28,19,0,2021-03-13
1,Brooklyn Nets,38,25,13,0.658,48.7,43.8,87.7,0.5,15.4,37.8,0.408,18.0,22.4,0.804,8.7,35.6,44.3,27.1,14.4,6.4,5.3,4.5,19.2,18.4,121.1,5.2,2,3,4,4,4,2,19,1,4,6,2,7,10,6,24,8,13,5,19,28,8,9,11,22,1,6,2020-21,Detroit Pistons,37,10,27,0.27,48.8,38.6,87.3,0.442,12.7,36.2,0.351,17.9,23.2,0.774,10.1,32.6,42.7,24.3,14.6,7.8,5.0,5.7,20.7,20.5,107.8,-3.9,10,29,29,29,1,29,22,27,17,12,23,8,6,20,15,27,25,19,21,13,13,25,24,9,24,23,1,2021-03-13
2,Charlotte Hornets,36,18,18,0.5,48.1,41.1,88.9,0.463,13.9,36.1,0.384,16.4,21.0,0.781,10.8,33.3,44.0,27.1,15.3,8.3,4.7,5.2,18.5,18.9,112.5,-0.4,21,16,13,14,17,16,14,16,7,13,7,20,19,17,7,23,16,4,26,7,19,19,6,18,16,17,2020-21,Toronto Raptors,37,17,20,0.459,48.0,39.8,88.0,0.452,15.5,40.3,0.385,18.0,21.7,0.832,9.4,32.2,41.5,25.1,13.7,8.5,5.5,6.0,22.1,20.3,113.2,1.4,10,17,18,18,27,22,17,23,3,4,6,6,16,3,20,30,30,14,10,5,6,29,30,10,13,9,1,2021-03-13
3,Washington Wizards,36,14,22,0.389,48.1,41.3,89.9,0.459,11.1,32.3,0.343,20.8,27.1,0.765,9.6,34.3,43.9,24.7,14.2,7.7,3.7,4.7,22.0,22.7,114.3,-5.3,21,25,23,25,17,15,7,19,25,23,28,3,1,22,18,19,17,16,16,14,30,12,29,1,10,26,2020-21,Milwaukee Bucks,37,23,14,0.622,48.0,44.4,91.1,0.487,14.6,37.5,0.39,15.9,21.5,0.74,10.4,37.6,48.1,25.8,13.5,8.1,4.9,4.9,17.9,18.6,119.2,7.0,10,7,6,7,27,1,5,3,5,8,4,22,17,26,11,1,1,11,7,9,15,15,4,20,2,2,0,2021-03-13
4,Atlanta Hawks,37,17,20,0.459,48.3,39.6,87.3,0.453,12.7,35.1,0.362,21.0,25.6,0.822,11.3,34.6,45.9,24.2,14.4,6.9,5.0,5.6,20.1,21.0,112.8,0.4,10,17,18,18,14,23,22,22,18,14,17,2,3,5,2,16,6,20,17,21,13,23,20,5,15,13,2020-21,Sacramento Kings,37,15,22,0.405,48.1,42.9,89.4,0.48,12.2,33.2,0.368,16.9,23.4,0.723,10.4,32.3,42.7,26.0,13.7,6.7,4.8,5.0,19.8,20.1,115.0,-4.9,10,24,23,24,22,4,8,9,20,21,13,16,5,30,12,29,25,9,9,25,18,17,17,13,8,24,1,2021-03-13
5,Minnesota Timberwolves,37,8,29,0.216,48.4,40.4,92.3,0.438,12.8,36.4,0.35,15.1,19.7,0.766,10.5,32.7,43.2,25.2,14.6,8.7,5.8,5.8,21.8,18.4,108.6,-8.0,10,30,30,30,9,20,1,28,16,11,26,30,27,21,10,25,23,13,23,3,4,27,28,21,23,29,2020-21,Portland Trail Blazers,36,21,15,0.583,48.1,40.7,91.3,0.446,16.2,42.3,0.383,17.1,20.7,0.827,10.7,33.5,44.2,20.1,11.6,7.2,5.1,4.4,19.3,18.3,114.7,-0.6,21,9,8,9,17,19,3,26,2,2,8,13,22,4,8,22,14,30,2,18,11,8,13,23,9,20,0,2021-03-13
6,Phoenix Suns,36,25,11,0.694,48.6,42.6,87.6,0.487,13.3,34.8,0.383,15.3,18.4,0.834,8.2,35.1,43.3,27.1,13.0,6.5,4.3,3.8,19.6,18.1,113.9,6.5,21,3,2,2,6,8,20,4,9,15,9,28,30,2,27,12,22,2,4,27,26,3,16,28,12,3,2020-21,Indiana Pacers,36,16,20,0.444,48.6,42.0,89.0,0.472,12.0,33.5,0.359,16.4,20.9,0.784,8.5,33.1,41.6,26.5,13.9,8.6,5.9,5.4,20.4,18.9,112.4,0.1,21,20,18,20,6,9,10,11,21,19,18,20,20,14,25,24,29,6,12,4,3,20,23,19,17,14,0,2021-03-13
7,Denver Nuggets,37,22,15,0.595,48.7,43.4,89.0,0.487,13.3,34.5,0.386,15.5,19.8,0.785,10.0,33.7,43.8,26.4,13.6,8.2,4.4,4.3,19.1,20.2,115.5,5.2,10,8,8,8,2,3,10,2,11,17,5,25,25,13,16,20,18,7,8,8,24,7,10,11,4,5,2020-21,Dallas Mavericks,36,19,17,0.528,48.1,40.3,86.7,0.465,13.1,37.4,0.351,18.0,23.1,0.781,8.4,34.5,42.9,22.7,12.3,6.3,4.6,3.9,20.2,21.3,111.8,-0.4,21,11,11,11,17,21,26,14,12,9,24,5,8,16,26,17,24,25,3,30,21,4,21,4,18,18,0,2021-03-13
