,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Home-Team-Win,date
0,Cleveland Cavaliers,16,5,11,0.313,48.0,37.6,87.1,0.432,10.5,31.8,0.331,18.6,23.5,0.79,10.1,33.9,44.0,19.7,14.8,7.8,3.3,7.1,18.4,21.7,104.3,-7.3,10,22,21,25,21,28,24,27,25,18,26,13,17,9,17,22,21,29,11,14,30,29,2,12,28,26,2019-20,Brooklyn Nets,16,8,8,0.5,48.6,40.3,89.9,0.448,12.6,36.6,0.343,19.9,26.7,0.747,10.1,36.9,47.1,22.6,16.3,7.0,4.8,4.9,22.3,23.3,113.0,-1.4,10,13,13,13,3,16,14,20,10,6,23,6,2,22,17,5,6,23,23,22,19,16,20,3,10,17,0,2019-11-25
1,Detroit Pistons,16,5,11,0.313,48.0,38.8,83.3,0.466,12.0,30.6,0.392,17.9,23.6,0.759,9.2,32.3,41.4,24.8,17.5,7.0,5.6,4.3,20.5,21.0,107.5,-3.4,10,22,21,25,21,24,28,8,16,20,2,17,15,18,25,27,29,12,28,22,8,8,8,18,22,21,2019-20,Orlando Magic,15,6,9,0.4,48.0,37.7,88.4,0.426,9.7,31.3,0.311,17.1,21.7,0.785,11.2,35.0,46.2,22.9,13.1,8.1,6.3,4.7,18.3,19.9,102.1,-0.8,21,17,17,17,21,27,18,30,27,19,30,20,19,10,5,18,12,22,3,12,3,13,1,26,29,15,1,2019-11-25
2,Indiana Pacers,15,9,6,0.6,48.3,42.1,91.0,0.462,9.1,26.1,0.348,14.5,17.5,0.828,10.5,35.7,46.3,25.2,14.0,6.7,5.5,4.9,21.6,19.1,107.7,4.4,21,12,11,12,4,7,6,10,29,29,21,30,30,3,11,11,11,11,5,25,9,15,13,30,21,10,2019-20,Memphis Grizzlies,15,5,10,0.333,48.3,41.7,90.9,0.459,10.7,30.5,0.349,14.9,19.5,0.765,10.0,35.3,45.3,26.9,17.3,7.9,5.3,6.6,22.7,19.7,108.9,-8.9,21,22,19,23,4,9,9,14,22,21,19,29,28,16,21,14,19,3,27,13,11,27,21,29,17,28,1,2019-11-25
3,Atlanta Hawks,16,4,12,0.25,48.3,39.9,87.8,0.455,9.9,31.8,0.312,18.0,24.6,0.733,10.1,32.2,42.3,23.7,17.7,9.2,5.1,7.9,23.1,21.6,107.8,-9.9,10,28,27,28,10,18,21,16,26,17,28,16,10,26,17,28,27,17,29,3,15,30,24,13,20,29,2019-20,Minnesota Timberwolves,16,8,8,0.5,48.9,41.1,93.4,0.44,12.4,39.8,0.311,18.9,25.6,0.741,11.1,36.9,48.1,23.3,16.1,8.6,6.7,5.4,21.9,23.2,113.4,-1.9,10,13,13,13,1,12,3,25,13,3,29,11,7,23,6,5,3,19,19,6,2,20,16,6,9,18,0,2019-11-25
4,Boston Celtics,15,11,4,0.733,48.3,39.9,90.6,0.441,12.3,35.1,0.349,18.5,23.3,0.794,9.9,36.7,46.7,24.4,12.8,8.8,5.7,5.9,22.1,22.3,110.7,6.9,21,5,4,4,4,19,11,24,14,9,20,14,18,7,24,8,9,14,1,5,7,24,18,11,14,6,2019-20,Sacramento Kings,15,7,8,0.467,48.0,38.6,85.7,0.451,12.5,34.1,0.367,15.8,20.1,0.785,10.0,31.6,41.6,22.5,16.2,7.7,4.7,4.4,22.8,19.8,105.5,-3.7,21,16,13,16,21,25,26,19,11,14,11,24,27,11,21,29,28,24,20,19,21,9,22,27,27,22,1,2019-11-25
5,Miami Heat,15,11,4,0.733,48.3,39.4,82.4,0.478,12.5,32.3,0.386,19.4,25.7,0.754,8.7,35.2,43.9,25.7,19.1,9.5,5.1,4.0,21.2,23.2,110.7,6.1,21,5,4,4,4,20,30,3,12,15,3,8,6,20,26,15,22,8,30,2,13,4,11,5,14,7,2019-20,Charlotte Hornets,17,6,11,0.353,48.3,38.9,86.1,0.452,12.9,35.1,0.369,15.6,21.7,0.718,10.1,31.2,41.2,23.6,16.9,6.8,4.1,4.5,19.3,21.5,106.3,-7.4,1,17,21,19,16,23,25,18,7,10,9,25,21,28,20,30,30,18,26,24,27,10,4,14,26,27,1,2019-11-25
6,Toronto Raptors,15,11,4,0.733,48.3,40.7,87.7,0.464,14.3,35.9,0.398,18.1,21.7,0.831,8.7,37.7,46.3,25.3,16.1,7.5,5.1,6.3,21.9,20.9,113.7,7.5,21,5,4,4,4,13,22,9,4,7,1,15,19,2,26,3,10,9,18,20,13,26,15,20,8,4,2019-20,Philadelphia 76ers,16,11,5,0.688,48.3,41.9,88.3,0.474,10.7,30.0,0.356,15.8,21.6,0.733,10.2,36.6,46.8,26.9,16.8,8.9,5.5,4.1,24.1,21.2,110.3,5.2,10,5,7,8,10,8,19,6,21,25,16,23,23,25,15,9,8,4,25,4,10,5,29,16,16,8,1,2019-11-25
7,Chicago Bulls,17,6,11,0.353,48.0,38.9,90.9,0.428,12.2,35.3,0.347,17.8,23.5,0.755,11.1,33.4,44.5,23.1,15.3,9.7,4.0,6.7,23.4,21.4,107.9,-2.6,1,17,21,19,21,22,8,29,15,8,22,18,16,19,7,24,20,21,13,1,28,28,25,15,19,19,2019-20,Portland Trail Blazers,17,5,12,0.294,48.3,41.1,92.8,0.443,12.7,34.6,0.367,17.5,21.6,0.81,10.2,35.4,45.6,19.6,14.1,5.9,6.1,6.0,23.4,20.5,112.5,-3.8,1,22,27,27,16,10,4,23,9,12,10,19,22,5,14,12,15,30,6,30,5,25,25,22,12,23,0,2019-11-25
8,Milwaukee Bucks,16,13,3,0.813,48.3,43.4,91.3,0.475,14.1,41.0,0.343,18.9,26.4,0.716,9.9,42.0,51.9,24.6,15.8,7.8,6.3,4.2,21.3,23.0,119.8,9.6,10,2,2,2,10,2,5,4,5,2,24,11,4,29,23,1,1,13,17,14,4,6,12,9,1,1,2019-20,Utah Jazz,16,11,5,0.688,48.0,37.4,82.6,0.452,11.4,30.3,0.377,20.2,26.3,0.769,7.9,37.8,45.7,20.7,16.3,6.2,4.5,5.1,21.7,23.3,106.4,4.0,10,5,7,8,21,30,29,17,17,22,7,3,5,15,30,2,14,27,22,27,22,19,14,3,25,11,1,2019-11-25
9,San Antonio Spurs,17,6,11,0.353,48.0,42.5,89.5,0.474,8.9,24.9,0.359,18.9,24.4,0.778,11.1,35.1,46.2,24.1,14.2,6.1,5.3,4.6,19.2,21.2,112.8,-2.6,1,17,21,19,21,6,15,5,30,30,13,10,12,13,7,17,13,16,7,29,12,12,3,17,11,19,2019-20,Los Angeles Lakers,16,14,2,0.875,48.3,42.6,88.9,0.479,10.8,30.3,0.355,16.1,21.4,0.749,10.3,35.2,45.5,26.5,15.2,8.5,7.6,3.4,20.1,20.4,111.9,8.8,10,1,1,1,10,5,17,2,20,22,17,21,25,21,13,16,17,5,12,7,1,1,7,23,13,3,0,2019-11-25
10,Golden State Warriors,17,3,14,0.176,48.3,39.2,90.5,0.434,9.6,30.2,0.32,20.1,23.9,0.84,10.2,33.5,43.6,24.4,14.2,7.7,4.2,5.5,19.5,20.4,108.2,-10.4,1,30,30,30,16,21,13,26,28,24,27,4,13,1,16,23,23,15,8,17,26,22,5,24,18,30,2019-20,Oklahoma City Thunder,15,5,10,0.333,48.3,38.4,83.6,0.459,10.5,29.5,0.357,19.8,25.0,0.792,8.0,34.7,42.7,21.7,15.6,8.2,4.2,5.1,20.8,23.1,107.1,-0.7,21,22,19,23,4,26,27,13,24,27,15,7,9,8,29,19,25,25,16,11,25,17,9,7,23,14,0,2019-11-25
