,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Home-Team-Win,date
0,Phoenix Suns,75,50,25,0.667,48.3,41.5,83.0,0.5,8.6,21.9,0.392,18.8,24.0,0.783,8.7,32.4,41.1,26.9,14.6,6.7,6.5,3.8,20.2,21.1,110.3,4.8,5,6,6,6,17,1,7,2,4,4,3,15,21,6,30,5,21,1,17,21,2,1,9,15,2,7,2007-08,Minnesota Timberwolves,74,19,55,0.257,48.1,37.0,82.3,0.45,5.3,15.4,0.344,15.4,21.0,0.736,11.6,29.5,41.1,19.9,14.8,7.6,3.8,5.7,23.1,17.7,94.8,-6.6,27,28,26,28,29,13,9,17,25,25,24,30,28,20,13,24,22,26,22,13,29,28,28,30,28,27,1,2008-04-04
1,Toronto Raptors,75,38,37,0.507,48.4,38.4,81.9,0.469,7.2,18.0,0.4,16.4,20.2,0.813,9.5,30.5,40.0,23.6,11.8,6.9,4.0,4.0,19.6,18.4,100.4,2.8,5,14,14,14,7,7,11,6,10,14,1,27,30,1,27,15,28,5,2,20,27,5,4,29,12,12,2007-08,Charlotte Bobcats,75,28,47,0.373,48.5,35.8,79.8,0.449,6.5,17.7,0.366,18.2,25.6,0.71,10.9,29.6,40.5,21.1,14.7,7.6,4.9,6.0,22.0,21.0,96.2,-4.6,5,23,23,23,4,25,20,19,16,15,13,20,12,29,20,23,26,18,20,11,13,30,23,17,23,22,0,2008-04-04
2,Atlanta Hawks,75,35,40,0.467,48.5,36.1,79.8,0.453,4.7,13.0,0.359,21.1,27.3,0.775,12.3,30.0,42.3,22.0,15.0,7.4,5.6,5.2,20.6,21.9,98.0,-1.5,5,18,18,18,4,22,21,16,27,28,16,5,7,7,7,20,11,11,24,14,4,24,12,9,15,18,2007-08,Philadelphia 76ers,75,38,37,0.507,48.2,37.3,81.0,0.46,3.6,11.3,0.316,18.7,26.4,0.707,13.2,28.9,42.1,20.4,14.6,8.6,5.0,5.0,19.8,21.1,96.8,0.8,5,14,14,14,22,10,17,11,30,30,30,17,10,30,2,28,13,22,18,4,9,19,7,16,20,14,0,2008-04-04
3,Washington Wizards,75,38,37,0.507,48.6,36.4,81.6,0.445,6.8,19.5,0.352,19.2,24.4,0.786,12.0,29.2,41.3,19.4,13.2,7.9,4.9,4.4,19.7,20.3,98.7,-0.6,5,14,14,14,1,20,16,24,14,10,18,11,19,4,9,26,20,27,8,8,14,9,6,22,14,16,2007-08,Miami Heat,75,13,62,0.173,48.4,34.4,77.2,0.446,5.5,15.9,0.35,17.2,23.8,0.724,9.1,28.7,37.8,20.0,14.9,7.1,4.4,3.9,20.4,20.6,91.6,-8.9,5,30,30,30,7,30,29,23,23,23,22,25,22,26,29,29,30,25,23,17,22,4,10,20,30,30,1,2008-04-04
4,Detroit Pistons,74,53,21,0.716,48.1,36.5,79.7,0.458,6.0,16.1,0.372,18.6,24.3,0.765,11.7,29.3,41.0,22.5,11.6,7.1,5.6,3.8,20.6,20.0,97.5,7.1,27,2,2,2,24,18,23,13,18,22,10,18,20,14,11,25,23,7,1,16,3,3,11,25,17,2,2007-08,New Jersey Nets,75,31,44,0.413,48.3,34.8,78.7,0.442,6.0,17.2,0.349,20.2,27.6,0.731,11.4,30.9,42.4,23.3,15.1,6.3,4.8,4.4,22.8,22.5,95.8,-4.8,5,20,20,20,12,28,25,25,18,18,23,10,6,22,15,13,10,6,25,26,16,9,26,6,26,23,1,2008-04-04
5,Memphis Grizzlies,75,20,55,0.267,48.3,37.3,81.7,0.456,7.5,21.4,0.351,18.5,25.4,0.729,10.2,31.3,41.5,19.1,15.5,6.1,4.8,5.0,19.7,22.4,100.6,-5.9,5,26,26,26,12,10,13,15,7,5,19,19,14,23,22,11,17,29,28,29,17,18,5,7,10,24,2007-08,Golden State Warriors,75,45,30,0.6,48.3,41.2,89.7,0.459,9.3,26.6,0.351,18.8,25.0,0.753,12.5,30.2,42.7,22.2,13.1,9.1,4.6,5.1,22.9,21.4,110.5,2.2,5,12,12,12,17,2,1,12,2,1,20,14,15,19,5,17,9,10,5,2,19,21,27,13,1,13,0,2008-04-04
6,New Orleans Hornets,74,52,22,0.703,48.3,38.5,82.9,0.464,7.8,19.8,0.392,15.9,20.7,0.768,11.6,30.5,42.1,21.6,11.9,7.6,3.9,4.2,18.7,19.2,100.7,5.3,27,3,3,3,10,6,8,8,6,9,2,29,29,11,12,14,12,13,3,12,28,6,1,28,9,6,2007-08,New York Knicks,75,20,55,0.267,48.5,35.8,81.7,0.438,5.8,17.4,0.336,18.8,26.0,0.723,12.4,29.7,42.1,18.6,14.4,6.3,2.6,5.1,21.4,20.6,96.1,-7.0,5,26,26,26,3,26,14,29,21,17,28,16,11,27,6,22,14,30,13,25,30,21,19,19,25,28,1,2008-04-04
7,Milwaukee Bucks,74,26,48,0.351,48.3,36.7,82.1,0.448,5.5,16.1,0.341,17.5,23.8,0.736,12.9,28.7,41.5,21.2,14.5,6.5,4.5,5.1,21.4,20.9,96.5,-6.5,27,24,24,24,10,15,10,20,24,21,25,22,23,21,4,30,18,16,15,22,20,20,20,18,22,26,2007-08,Indiana Pacers,75,31,44,0.413,48.2,37.8,85.5,0.442,9.1,24.5,0.371,19.0,24.7,0.769,11.3,31.9,43.1,22.5,15.1,7.7,4.9,5.2,23.6,21.7,103.7,-2.0,5,20,20,20,22,9,3,26,3,3,12,12,18,10,17,8,8,8,26,9,12,24,29,11,7,19,0,2008-04-04
8,Utah Jazz,76,50,26,0.658,48.1,40.2,80.4,0.5,4.9,13.1,0.377,21.7,28.7,0.758,11.5,29.1,40.7,26.6,14.7,8.8,4.3,5.1,24.3,23.4,107.1,6.9,1,6,8,8,30,3,18,1,26,27,5,3,2,16,14,27,25,2,21,3,23,23,30,3,5,3,2007-08,San Antonio Spurs,75,52,23,0.693,48.1,36.0,78.6,0.458,7.5,20.0,0.375,16.7,21.9,0.764,9.7,31.7,41.4,21.1,12.6,6.4,4.1,4.4,18.9,20.2,96.2,5.3,5,3,4,4,25,24,26,14,7,8,9,26,27,15,26,9,19,17,4,23,25,11,2,23,24,5,1,2008-04-04
9,Los Angeles Lakers,75,51,24,0.68,48.3,39.6,83.4,0.475,7.9,21.1,0.375,21.2,27.7,0.765,10.9,33.3,44.2,24.3,14.2,8.0,5.3,4.6,20.7,22.5,108.4,6.7,5,5,5,5,17,5,6,4,5,6,8,4,5,13,19,1,4,4,11,6,5,13,13,5,4,4,2007-08,Dallas Mavericks,75,47,28,0.627,48.1,36.7,79.2,0.464,6.0,17.0,0.351,20.8,25.6,0.813,10.8,32.4,43.2,20.9,13.1,6.1,5.0,4.3,21.9,21.3,100.2,4.6,5,9,9,9,25,16,24,9,20,19,21,7,13,2,21,6,7,21,5,28,10,8,22,14,13,9,1,2008-04-04
