,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Home-Team-Win,date
0,Toronto Raptors,67,34,33,0.507,48.4,38.2,82.1,0.466,7.3,18.1,0.404,16.6,20.4,0.812,9.8,30.4,40.1,23.3,11.9,7.1,4.0,4.1,19.9,18.5,100.3,2.6,6,15,14,15,10,7,10,6,9,14,1,27,29,2,25,16,28,5,2,18,27,5,8,29,11,13,2007-08,Miami Heat,66,12,54,0.182,48.4,35.5,78.0,0.455,5.3,15.1,0.353,17.3,24.1,0.719,9.2,28.9,38.1,20.4,14.9,7.1,4.2,3.9,20.6,20.7,93.7,-7.7,24,30,30,30,7,27,29,14,24,25,17,25,21,28,29,29,30,23,20,19,23,4,10,20,30,29,1,2008-03-19
1,Philadelphia 76ers,67,33,34,0.493,48.2,37.2,81.0,0.459,3.6,11.1,0.319,18.4,25.9,0.71,13.1,28.9,42.0,20.2,14.6,8.5,4.9,4.9,19.8,20.9,96.3,0.8,6,16,17,17,20,11,16,13,30,30,30,18,11,29,2,28,14,24,17,5,14,17,6,17,21,14,2007-08,Denver Nuggets,67,40,27,0.597,48.4,39.6,85.3,0.465,6.7,19.0,0.353,23.0,30.5,0.755,11.5,32.7,44.3,24.3,15.1,9.2,6.9,5.0,20.9,23.9,109.0,3.6,6,12,12,12,10,4,4,8,13,12,18,1,1,17,14,3,3,3,22,1,1,18,15,1,3,11,1,2008-03-19
2,Orlando Magic,69,45,24,0.652,48.3,37.3,78.5,0.475,9.5,24.9,0.383,20.8,28.7,0.725,9.5,32.6,42.1,20.4,14.4,6.1,4.2,4.2,20.7,23.7,105.0,4.9,1,5,8,8,18,10,26,5,1,2,4,8,3,24,28,4,13,22,13,28,25,7,11,2,6,8,2007-08,Washington Wizards,66,33,33,0.5,48.6,36.2,81.9,0.442,6.6,19.2,0.343,19.5,24.7,0.79,12.4,29.6,41.9,19.2,13.5,7.9,4.9,4.3,19.7,20.4,98.5,-0.2,24,16,14,16,2,21,11,24,14,11,23,11,19,4,6,24,15,28,8,7,12,10,5,22,15,15,0,2008-03-19
3,Indiana Pacers,67,26,41,0.388,48.2,37.8,85.6,0.441,8.9,24.3,0.364,18.8,24.5,0.768,11.2,32.0,43.2,22.6,15.3,7.6,5.0,5.1,23.7,21.7,103.2,-2.6,6,22,22,22,20,9,2,25,3,3,13,14,20,10,17,8,7,9,27,10,11,22,29,10,7,21,2007-08,Charlotte Bobcats,67,24,43,0.358,48.5,35.6,80.0,0.446,6.4,17.6,0.363,18.0,25.5,0.707,11.1,29.6,40.7,21.0,14.7,7.5,4.9,6.1,22.2,21.0,95.7,-5.2,6,23,23,23,3,24,19,22,16,15,14,21,13,30,18,23,24,20,18,13,13,30,23,15,24,22,1,2008-03-19
4,New Jersey Nets,67,28,39,0.418,48.4,34.2,78.3,0.437,5.7,16.8,0.341,20.1,27.6,0.727,11.5,30.9,42.3,23.2,15.2,6.5,4.7,4.3,22.9,22.4,94.2,-5.3,6,20,20,20,10,30,28,28,21,19,25,10,6,23,15,13,12,6,26,24,17,9,26,8,27,23,2007-08,Atlanta Hawks,67,29,38,0.433,48.4,35.6,79.6,0.447,4.4,12.4,0.353,20.9,27.0,0.773,12.4,30.1,42.5,21.5,15.2,7.4,5.7,5.2,20.8,21.6,96.5,-2.3,6,19,19,19,5,25,22,20,27,28,19,7,7,7,5,20,10,15,25,14,3,23,13,11,20,19,1,2008-03-19
5,Cleveland Cavaliers,68,38,30,0.559,48.5,36.0,81.8,0.44,7.2,19.5,0.366,18.2,25.3,0.72,13.0,31.2,44.3,19.8,14.2,7.2,5.0,4.5,21.5,20.4,97.3,-0.5,3,13,13,13,4,22,12,26,12,10,12,20,14,27,3,11,4,25,9,16,9,13,19,23,17,16,2007-08,Detroit Pistons,67,49,18,0.731,48.1,36.8,79.9,0.461,6.1,16.2,0.378,18.8,24.7,0.762,11.8,29.3,41.0,22.9,11.6,7.2,5.4,3.8,20.9,20.3,98.6,7.8,6,2,2,2,29,13,21,11,18,22,6,13,18,13,13,27,22,7,1,17,4,3,14,24,14,2,1,2008-03-19
6,New Orleans Hornets,66,45,21,0.682,48.4,38.5,83.2,0.463,7.8,20.0,0.39,15.4,20.0,0.77,11.8,30.7,42.5,21.7,12.2,7.5,3.8,4.2,18.8,18.8,100.3,5.1,24,5,3,5,7,6,7,9,5,9,2,29,30,8,12,14,9,14,3,12,28,8,1,28,12,5,2007-08,Houston Rockets,67,46,21,0.687,48.1,36.8,81.5,0.451,7.2,21.0,0.344,16.0,22.2,0.72,12.1,32.5,44.6,21.9,14.2,7.3,5.4,4.4,19.5,19.7,96.8,5.1,6,3,3,3,23,16,15,16,11,6,22,28,26,26,9,5,2,11,11,15,5,11,3,27,19,6,1,2008-03-19
7,Minnesota Timberwolves,66,16,50,0.242,48.1,37.0,82.8,0.447,5.3,15.5,0.341,15.0,20.6,0.728,12.0,29.5,41.4,19.7,15.1,7.6,3.7,5.9,23.3,17.5,94.2,-7.0,24,27,27,27,28,12,9,21,25,24,24,30,28,22,10,25,17,26,23,11,29,29,28,30,28,28,2007-08,Memphis Grizzlies,66,16,50,0.242,48.3,36.8,81.6,0.451,7.5,21.2,0.351,18.3,25.1,0.731,10.5,30.9,41.4,19.3,15.6,6.2,4.8,4.9,19.5,22.5,99.4,-6.5,24,27,27,27,15,15,13,18,8,5,20,19,16,21,22,12,18,27,28,26,16,16,4,7,13,25,1,2008-03-19
8,Seattle SuperSonics,67,16,51,0.239,48.3,38.0,85.4,0.445,4.0,11.9,0.336,17.6,23.0,0.766,11.9,33.0,44.9,21.7,16.5,6.4,5.2,5.5,20.9,19.7,97.6,-8.7,6,27,29,29,16,8,3,23,29,29,27,24,25,12,11,2,1,13,30,25,7,26,16,26,16,30,2007-08,Phoenix Suns,67,45,22,0.672,48.2,41.5,83.5,0.497,8.6,22.4,0.387,18.4,23.5,0.783,8.7,32.5,41.2,26.8,14.2,6.7,6.7,3.7,19.9,20.8,110.0,5.0,6,5,6,6,20,1,6,1,4,4,3,17,23,6,30,6,20,1,10,21,2,1,7,19,2,7,0,2008-03-19
9,Los Angeles Clippers,66,21,45,0.318,48.4,34.3,78.7,0.436,4.3,13.2,0.329,21.0,26.7,0.787,9.6,30.5,40.0,21.2,14.3,6.9,4.9,5.0,21.4,21.9,94.0,-6.3,24,25,25,25,7,29,25,29,28,26,29,5,9,5,27,15,29,16,12,20,15,19,18,9,29,24,2007-08,Golden State Warriors,66,41,25,0.621,48.2,41.3,89.5,0.462,9.4,27.0,0.349,18.8,25.1,0.747,12.3,30.1,42.4,22.8,13.2,9.1,4.5,5.1,23.3,21.6,110.9,2.8,24,11,11,11,19,2,1,10,2,1,21,15,15,18,7,18,11,8,7,2,19,21,27,12,1,12,0,2008-03-19
