,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,season,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,Home-Team-Win,date
0,Atlanta Hawks,10,6,4,0.6,48.0,36.3,80.7,0.45,9.5,22.1,0.43,18.5,25.4,0.728,11.3,29.2,40.5,19.9,13.1,7.6,5.6,5.7,22.2,21.0,100.6,1.9,18,10,6,10,17,12,12,9,2,3,1,20,15,27,17,23,19,17,6,14,11,21,17,19,5,14,2008-09,Washington Wizards,8,1,7,0.125,48.6,34.1,78.5,0.435,4.3,15.1,0.281,20.8,28.5,0.728,10.1,28.1,38.3,17.6,14.5,7.8,4.4,5.6,20.0,23.0,93.3,-9.5,30,27,22,27,5,24,21,21,28,22,30,11,7,28,25,27,29,25,15,12,25,20,5,8,25,28,1,2008-11-19
1,Detroit Pistons,10,7,3,0.7,48.0,35.6,80.4,0.443,6.0,15.5,0.387,21.7,27.4,0.792,12.8,30.2,43.0,20.7,13.3,6.8,5.7,4.5,22.7,23.1,98.9,2.6,18,6,4,5,17,15,13,17,13,20,5,6,10,5,9,16,11,9,7,21,9,11,20,5,10,11,2008-09,Cleveland Cavaliers,11,9,2,0.818,48.0,36.5,76.6,0.476,6.5,18.7,0.35,22.1,28.4,0.779,10.8,29.8,40.6,20.6,13.6,7.8,5.9,3.5,22.0,23.1,101.5,9.0,5,2,2,3,17,10,25,3,10,9,17,5,8,10,21,19,18,10,8,10,7,2,14,6,4,2,1,2008-11-19
2,Miami Heat,11,6,5,0.545,48.0,36.0,79.6,0.452,7.6,21.7,0.351,18.6,25.0,0.745,11.4,28.1,39.5,20.3,13.1,8.8,5.6,3.9,20.2,20.9,98.3,4.5,5,10,12,12,17,13,15,8,7,4,16,19,17,23,16,28,22,11,5,3,10,4,6,20,13,5,2008-09,Toronto Raptors,10,5,5,0.5,48.5,34.8,76.2,0.457,5.9,15.6,0.378,19.7,23.9,0.824,8.8,30.2,39.0,23.0,15.2,6.0,5.6,5.9,17.9,21.7,95.2,-1.5,18,14,12,15,6,22,26,6,14,19,11,15,19,2,28,16,25,4,18,27,11,23,3,14,22,19,0,2008-11-19
3,Houston Rockets,11,7,4,0.636,48.5,33.7,78.9,0.427,5.7,16.2,0.354,19.1,22.6,0.843,11.0,31.7,42.7,17.3,13.6,7.1,3.1,5.5,17.7,20.3,92.3,3.4,5,6,6,7,8,28,17,26,15,16,14,17,26,1,19,11,12,26,8,18,29,16,1,24,26,9,2008-09,Dallas Mavericks,11,4,7,0.364,48.5,37.3,85.9,0.434,5.5,18.5,0.299,18.7,23.9,0.783,13.2,34.3,47.5,19.8,13.9,7.5,5.2,4.4,20.8,20.1,98.8,-0.5,5,22,22,23,8,8,5,22,17,10,28,18,18,8,5,2,3,20,10,15,15,8,9,25,11,17,0,2008-11-19
4,Minnesota Timberwolves,9,1,8,0.111,49.7,37.3,86.9,0.43,4.3,14.9,0.291,17.9,22.2,0.805,11.8,29.2,41.0,23.9,12.6,5.6,4.6,5.9,24.1,20.7,96.9,-5.0,27,27,27,28,1,7,3,24,27,23,29,24,27,3,11,22,17,2,3,29,20,22,28,22,17,24,2008-09,Philadelphia 76ers,10,5,5,0.5,48.0,37.6,84.8,0.443,4.9,12.8,0.383,17.3,23.0,0.752,14.7,34.5,49.2,20.1,16.4,6.3,6.3,5.6,17.8,19.2,97.4,3.6,18,14,12,15,17,4,7,16,24,28,7,26,24,21,1,1,1,15,26,24,5,19,2,27,16,7,1,2008-11-19
5,New Orleans Hornets,9,5,4,0.556,48.0,33.9,75.8,0.447,7.8,19.8,0.393,18.1,23.4,0.773,9.7,28.8,38.4,19.9,13.0,8.0,4.0,3.8,21.1,21.6,93.7,2.1,27,14,6,11,30,26,27,10,5,7,4,21,20,14,26,26,28,18,4,9,26,3,11,15,24,12,2008-09,Sacramento Kings,12,4,8,0.333,48.4,37.6,78.8,0.477,4.7,15.5,0.301,18.1,22.8,0.792,9.3,29.8,39.0,19.8,16.1,6.2,4.4,5.0,23.7,21.3,97.9,-5.7,1,22,27,25,14,5,19,2,25,20,27,22,25,5,27,20,25,19,23,26,23,14,26,18,14,26,0,2008-11-19
6,Oklahoma City Thunder,11,1,10,0.091,48.0,35.0,85.9,0.407,2.6,7.8,0.337,17.2,23.4,0.735,12.8,31.8,44.6,17.0,15.8,7.1,4.6,6.2,22.4,19.0,89.8,-10.5,5,27,30,30,17,19,5,30,30,30,19,27,21,25,8,10,7,27,22,18,19,26,18,28,28,29,2008-09,Los Angeles Clippers,10,1,9,0.1,48.5,34.0,82.6,0.412,5.6,18.2,0.308,15.6,21.4,0.729,11.6,28.9,40.5,19.4,15.4,6.7,6.8,5.0,22.6,19.7,89.2,-12.8,18,27,29,29,6,25,9,29,16,12,25,29,29,26,12,24,19,22,20,22,3,14,19,26,29,30,0,2008-11-19
7,San Antonio Spurs,10,5,5,0.5,49.0,35.8,77.9,0.46,7.7,19.4,0.397,12.0,16.1,0.745,7.7,31.2,38.9,20.2,12.3,4.4,3.4,4.2,18.6,17.4,91.3,-2.0,18,14,12,15,3,14,24,5,6,8,3,30,30,24,30,14,27,13,2,30,28,7,4,30,27,22,2008-09,Denver Nuggets,11,7,4,0.636,48.5,34.8,78.9,0.441,5.0,16.1,0.311,25.2,32.2,0.782,10.2,31.9,42.1,21.2,16.1,9.5,5.5,6.5,23.5,25.7,99.8,2.1,5,6,6,7,8,20,17,18,22,17,24,1,2,9,24,8,15,7,24,2,14,28,25,2,7,13,0,2008-11-19
8,Utah Jazz,11,7,4,0.636,48.0,37.0,79.2,0.467,4.2,12.2,0.343,19.3,25.3,0.763,13.0,29.5,42.5,24.3,15.6,8.3,4.5,6.4,22.7,22.8,97.5,4.1,5,6,6,7,17,9,16,4,29,29,18,16,16,16,6,21,14,1,21,7,21,27,22,9,15,6,2008-09,Milwaukee Bucks,12,5,7,0.417,49.3,35.2,82.0,0.429,5.3,14.0,0.375,20.2,26.8,0.754,13.8,30.0,43.8,20.8,16.4,5.9,3.5,5.5,26.2,24.8,95.8,-1.8,1,14,22,21,2,18,10,25,20,26,12,14,13,20,4,18,9,8,28,28,27,17,30,4,19,20,1,2008-11-19
9,Portland Trail Blazers,11,6,5,0.545,48.5,34.8,78.5,0.444,8.4,20.0,0.418,17.6,23.1,0.764,11.8,27.3,39.1,20.2,12.0,7.0,5.0,3.3,22.0,20.5,95.6,-1.9,5,10,12,12,8,20,22,14,3,5,2,25,23,15,10,29,24,14,1,20,17,1,14,23,20,21,2008-09,Chicago Bulls,11,5,6,0.455,48.0,35.5,84.5,0.421,5.3,14.7,0.358,22.4,28.2,0.794,12.9,32.1,45.0,19.0,14.8,8.8,5.7,6.5,22.0,22.5,98.7,0.5,5,14,19,19,17,16,8,28,19,25,13,4,9,4,7,7,4,23,16,3,8,29,14,12,12,15,1,2008-11-19
